System	Owner	Quantity	Delivery	Length	Gauge	Operation	Seats	Standing
Chemnitz Stadtbahn	Chemnitzer Verkehrs-Aktiengesellschaft	14	1993–2000	m (ft)	Standard	Uni	89	123
Chemnitz Stadtbahn	Chemnitzer Verkehrs-Aktiengesellschaft	10	2000	m (ft)	Standard	Bi	74	124
City-Bahn Chemnitz	City-Bahn Chemnitz	6	2001	m (ft)	Standard	Bi	74	124
Mannheim Tramway	MVV Verkehr	6	1996	m (ft)	Meter	Bi	90	100
Mannheim Tramway	MVV Verkehr	16	2002–07	m (ft)	Meter	Uni	129	130
Mannheim Tramway	MVV Verkehr	20	2002–07	m (ft)	Meter	Bi	80	90
Duisberg Stadtbahn	Duisburger Verkehrsgesellschaft	1	1996	m (ft)	Standard	Bi	38	193
Inner West Light Rail	Transport for New South Wales	7	1997–98	m (ft)	Standard	Bi	74	143
Helsinki Tramway	Helsinki City Transport	40	1998–2004	m (ft)	Meter	Uni	55	80
Heidelberg Tramway	Heidelberger Straßen- und Bergbahn	8	2002	m (ft)	Meter	Bi	100	130
Ludwigshafen Tramway	Verkehrsbetriebe Ludwigshafen am Rhein	8	2003	m (ft)	Meter	Uni	88	90
Bochum–Gelsenkirchen Tramway	Bochum-Gelsenkirchener Straßenbahnen	30	2007–11	m (ft)	Meter	Bi	68	120
Nuremberg Tramway	Verkehrs-Aktiengesellschaft Nürnberg	8	2007	m (ft)	Standard	Uni	87	147
Munich tramway	Münchner Verkehrsgesellschaft	14	2008–11	m (ft)	Standard	Uni	87	147
Bergen Light Rail	Hordaland County Municipality	16	2009–12	m (ft)	Standard	Bi	84	128
Graz Tramway	Graz AG Verkehrsbetriebe	45	2009–	m (ft)	Standard	Uni	38	113
Potsdam Tramway	Verkehrsbetrieb Potsdam	18	2010–	m (ft)	Standard	Uni	57	118
Tramlink	Transport for London	6	2012	m (ft)	Standard	Bi	72	134
