Title	Publisher	Developer	Release date	ESRB
Amped: Freestyle Snowboarding	Microsoft Game Studios	Snowboard	2007-12-04 December 4, 2007	Everyone
Crash Bandicoot: The Wrath of Cortex	Vivendi Games	Traveller's Tales	2007-12-04 December 4, 2007	Everyone
Crimson Skies: High Road to Revenge	Microsoft Game Studios	FASA Studio	2007-12-04 December 4, 2007	Teen
Doom 3	Microsoft Game Studios	Vicarious Visions	2007-12-04 December 4, 2007	Mature
Fable	Microsoft Game Studios	Lionhead Studios	2007-12-04 December 4, 2007	Mature
Fahrenheit/Indigo Prophecy	Atari	Quantic Dream	2007-12-04 December 4, 2007	Mature
Fuzion Frenzy	Microsoft Game Studios	Blitz Games	2007-12-04 December 4, 2007	Everyone
Halo: Combat Evolved	Microsoft Game Studios	Bungie	2007-12-04 December 4, 2007	Mature
Magatama	Microsoft Game Studios	Microsoft Game Studios Japan	2007-12-04 December 4, 2007	Teen
Psychonauts	Microsoft Game Studios	Double Fine Productions	2007-12-04 December 4, 2007	Teen
Puyo Pop Fever	Sega	Sonic Team	2007-12-04 December 4, 2007	Everyone
Ty the Tasmanian Tiger	Electronic Arts	Krome Studios	2007-12-04 December 4, 2007	Everyone
Burnout 3: Takedown	Electronic Arts	Criterion Games	2008-01-14 January 14, 2008	Teen
Black	Electronic Arts	Criterion Games	2008-2-11 February 11, 2008	Mature
Ninja Gaiden Black	Tecmo	Team Ninja	2008-2-11 February 11, 2008	Mature
Sid Meier's Pirates!	2K Games	Firaxis Games	2008-2-11 February 11, 2008	Teen
Dreamfall: The Longest Journey	Aspyr Media	Funcom	2008-3-24 March 24, 2008	Mature
Metal Arms: Glitch in the System	Vivendi Games	Swingin' Ape Studios Mass Media Inc.	2008-4-21 April 21, 2008	Teen
Tom Clancy's Splinter Cell: Chaos Theory	Ubisoft	Ubisoft Montreal	2008-4-21 April 21, 2008	Mature
Gauntlet: Seven Sorrows	Midway Games	Midway Games	2008-05-19 May 19, 2008	Teen
Stubbs the Zombie in Rebel Without a Pulse	Aspyr Media	Wideload	2008-05-19 May 19, 2008	Mature
Guilty Gear XX #Reload	Majesco Entertainment	Arc System Works	2008-05-19 June 16, 2008	Teen
The Legend of Spyro: A New Beginning	Sierra Entertainment	Krome Studios	2008-05-19 June 16, 2008	Everyone 10+
Jade Empire	Microsoft Game Studios	BioWare	2008-07-21 July 21, 2008	Mature
Destroy All Humans!	THQ	Pandemic Studios	2008-09-15 September 15, 2008	Teen
Intellivision Lives!	Crave Entertainment	Realtime Associates	2008-09-15 September 15, 2008	Everyone
Grand Theft Auto: San Andreas	Rockstar Games	Rockstar North	2008-10-20 October 20, 2008	Mature
Zapper: One Wicked Cricket	Infogrames	Blitz Games Atomic Planet Entertainment	2008-11-17 November 17, 2008	Everyone
Raze's Hell	Majesco Entertainment	Artech Studios	2008-12-10 December 10, 2008	Mature
Sega Soccer Slam	Sega	Black Box Games	2008-12-10 December 10, 2008	Everyone
BlowOut	Majesco Entertainment	Terminal Reality	2009-01-26 January 26, 2009	Teen
Grabbed by the Ghoulies	Microsoft Game Studios	Rare Ltd.	2009-02-16 February 16, 2009	Everyone
Max Payne	Rockstar Games	neo Software	2009-04-27 April 27, 2009	Mature
Max Payne 2: The Fall of Max Payne	Rockstar Games	Rockstar Vienna	2009-04-27 April 27, 2009	Mature
Destroy All Humans! 2	THQ	Pandemic Studios	2010-12-01 December 1, 2010	Teen
Grand Theft Auto III	Rockstar Games	Rockstar Games	TBA December 1, 2010	Mature
