Region	Capital	Area (km²)	Area (sq mi)	Population
Abruzzo	L'Aquila	10763	4156	1342177
Aosta Valley	Aosta	3263	1260	128129
Apulia	Bari	19358	7474	4090577
Basilicata	Potenza	9995	3859	587680
Calabria	Catanzaro	15080	5822	2011537
Campania	Naples	13590	5247	5833131
Emilia-Romagna	Bologna	22446	8666	4429766
Friuli-Venezia Giulia	Trieste	7858	3034	1235761
Lazio	Rome	17236	6655	5724365
Liguria	Genoa	5422	2093	1616993
Lombardy	Milan	23844	9206	9909348
Marche	Ancona	9366	3616	1564886
Molise	Campobasso	4438	1713	319834
Piedmont	Turin	25402	9808	4456532
Sardinia	Cagliari	24090	9301	1675286
Sicily	Palermo	25711	9927	5050486
Tuscany	Florence	22993	8878	3749074
Trentino-Alto Adige/Südtirol	Trento	13607	5254	1036639
Umbria	Perugia	8456	3265	906675
