Outcome	Date	Surface	Partnering	Opponents in the final	Score
Winner	April 29, 2007	Clay	André Sá	Martín García Sebastián Prieto	3–6, 6–2, [10–6]
Winner	January 6, 2008	Hard	Martín García	Chris Guccione Robert Smeets	6–3, 3–6, [10–7]
Winner	February 11, 2008	Clay	André Sá	Albert Montañés Santiago Ventura	4–6, 6–2, [10–7]
Winner	May 18, 2008	Clay	André Sá	Julian Knowle Jürgen Melzer	7–5, 6–7 (3–7) , [13–11]
Runner-up	June 9, 2008	Grass	André Sá	Daniel Nestor Nenad Zimonjić	4–6, 6–7 (3–7)
Winner	August 17, 2008	Hard	André Sá	Mahesh Bhupathi Mark Knowles	7–5, 6–2
Runner-up	March 1, 2009	Hard	André Sá	Bob Bryan Mike Bryan	4–6, 4–6
Winner	May 25, 2009	Clay	André Sá	Andrei Pavel Horia Tecău	6–7 (9–11) , 6–2, [10–7]
Runner-up	June 14, 2009	Grass	André Sá	Wesley Moodie Mikhail Youzhny	4–6, 6–4, [6–10]
Runner-up	July 26, 2009	Clay	Filip Polášek	Simon Aspelin Paul Hanley	3–6, 3–6
Runner-up	January 11, 2010	Hard	Bruno Soares	Marcos Daniell Horia Tecău	5–7, 4–6
Winner	May 22, 2010	Clay	Bruno Soares	Rohan Bopanna Aisam-ul-Haq Qureshi	1–6, 6–3, [10–5]
Runner-up	August 1, 2010	Clay	Bruno Soares	Johan Brunström Jarkko Nieminen	3–6, 7–6 (7–4) , [9–11]
Runner-up	September 26, 2010	Hard	Bruno Soares	Dustin Brown Rogier Wassen	3–6, 3–6
Winner	February 5, 2011	Clay	Bruno Soares	Łukasz Kubot Oliver Marach	6–3, 7–6 (7–3)
Winner	February 12, 2011	Clay	Bruno Soares	Pablo Andújar Daniel Gimeno-Traver	7–6 (7–4) , 6–3
Runner-up	February 26, 2011	Clay	Bruno Soares	Victor Hănescu Horia Tecău	1–6, 3–6
Runner-up	September 25, 2011	Hard (i)	Lukáš Dlouhý	Jamie Murray André Sá	4–6, 6–7 (7–9)
Runner-up	October 23, 2011	Hard (i)	Bruno Soares	Rohan Bopanna Aisam-ul-Haq Qureshi	1–6, 3–6
Runner-up	February 26, 2012	Hard (i)	Ivan Dodig	Max Mirnyi Daniel Nestor	6–4, 5–7, [7–10]
Winner	October 21, 2012	Hard (i)	Bruno Soares	Robert Lindstedt Nenad Zimonjić	6–7 (4–7) , 7–5, [10–6]
Winner	January 6, 2013	Hard	Tommy Robredo	Eric Butorac Paul Hanley	4–6, 6–1, [10–5]
Runner-up	July 6, 2013	Grass	Ivan Dodig	Bob Bryan Mike Bryan	6–3, 3–6, 4–6, 4–6
Winner	13 October 2013	Hard	Ivan Dodig	David Marrero Fernando Verdasco	7–6 (7-2) , 6–7 (6–8) , [10–2]
