Year	Game	Genre	Platform(s)	Developer(s)
2003	Star Wars: Knights of the Old Republic	( Role-Playing Game ) Turn-Based	Windows , Xbox	Bioware
2004	Halo 2	( First-Person ) Shooter	Windows , Xbox	Bungie
2005	Resident Evil 4	Survival Horror : ( Third-Person ) Shooter	GameCube , PlayStation 2 , Windows , Wii	Capcom
2006	The Legend of Zelda: Twilight Princess	Action-Adventure	Wii , Nintendo GameCube	Nintendo
2007	BioShock	( First-Person ) Shooter : Survival Horror	Windows , Xbox 360 , Mac OS X , PlayStation 3	2K Boston/2K Australia
2008	Fable II	Action RPG : Sandbox	Xbox 360	Lionhead Studios
2009	Uncharted 2: Among Thieves	Action-Adventure : ( Third-Person ) Shooter	PlayStation 3	Naughty Dog
2010	Mass Effect 2	Action RPG : ( Third-Person ) Shooter	Xbox 360 , Windows , PlayStation 3	BioWare
2011	The Elder Scrolls V: Skyrim	Action RPG : Open World	Xbox 360 , Windows , PlayStation 3	Bethesda Game Studios
2012	Borderlands 2	First-person shooter	Xbox 360 , Windows , Playstation 3 , OS X	Gearbox Software
