Date	Venue	Result	Scored	Competition
19 November 2008	Macau UST Stadium , Macau	9–1	0	Friendly
23 August 2009	World Games Stadium , Kaohsiung , Taiwan	4–0	0	2010 EAFF Championship Semi-Finals
27 August 2009	World Games Stadium , Kaohsiung , Taiwan	12–0	1	2010 EAFF Championship Semi-Finals
18 November 2009	Hong Kong Stadium , Hong Kong	0–4	0	2011 AFC Asian Cup qualification
11 February 2010	Olympic Stadium , Tokyo , Japan	0–3	0	2010 East Asian Football Championship
14 February 2010	Olympic Stadium , Tokyo , Japan	0–2	0	2010 East Asian Football Championship
3 March 2010	Hong Kong Stadium , Hong Kong	0–0	0	2011 AFC Asian Cup qualification
9 February 2011	Shah Alam Stadium , Kuala Lumpur	0–2	0	Friendly
3 June 2011	Siu Sai Wan Sports Ground , Hong Kong	1–1	0	Friendly
28 July 2011	Siu Sai Wan Sports Ground , Hong Kong	0–5	0	2014 FIFA World Cup qualification
30 September 2011	Kaohsiung National Stadium , Kaohsiung , Taiwan	3–3	0	2011 Long Teng Cup
2 October 2011	Kaohsiung National Stadium , Kaohsiung , Taiwan	5–1	2	2011 Long Teng Cup
4 October 2011	Kaohsiung National Stadium , Kaohsiung , Taiwan	6–0	0	2011 Long Teng Cup
