Week	Date	Opponent	Result	Attendance
1	September 12, 2004	at St. Louis Rams	L 17-10	65,538
2	September 19, 2004	New England Patriots	L 23-12	51,557
3	September 26, 2004	at Atlanta Falcons	L 6-3	70,534
4	October 3, 2004	New Orleans Saints	W 34-10	28,109
5	October 10, 2004	at San Francisco 49ers	L 31-28 OT	62,836
6	Bye	Bye	Bye	Bye
7	October 24, 2004	Seattle Seahawks	W 25-17	35,695
8	October 31, 2004	at Buffalo Bills	L 38-14	65,887
9	November 7, 2004	at Miami Dolphins	W 24-23	72,612
10	November 14, 2004	New York Giants	W 17-14	42,297
11	November 21, 2004	at Carolina Panthers	L 35-10	72,796
12	November 28, 2004	New York Jets	L 13-3	35,820
13	December 5, 2004	at Detroit Lions	L 26-12	62,262
14	December 12, 2004	San Francisco 49ers	L 31-28 OT	35,069
15	December 19, 2004	St. Louis Rams	W 31-7	40,070
16	December 26, 2004	at Seattle Seahawks	L 24-21	65,825
17	January 2, 2005	Tampa Bay Buccaneers	W 12-7	31,650
