Call sign	Frequency	City of license	State	FCC info
WMBV	91.9 FM	Dixons Mills	Alabama	FCC
WRNF	89.5 FM	Selma	Alabama	FCC
WMFT	88.9 FM	Tuscaloosa	Alabama	FCC
WRMB	89.3 FM	Boynton Beach	Florida	FCC
WHGN	91.9 FM	Crystal River	Florida	FCC
WKES	91.1 FM	Lakeland	Florida	FCC
WSOR	90.9 FM	Naples	Florida	FCC
WKZM	104.3 FM	Sarasota	Florida	FCC
WMBI	1110 AM	Chicago	Illinois	FCC
WMBI-FM	90.1 FM	Chicago	Illinois	FCC
WDLM	960 AM	East Moline	Illinois	FCC
WDLM-FM	89.3 FM	East Moline	Illinois	FCC
WGNR	1470 AM	Anderson	Indiana	FCC
WGNR-FM	97.9 FM	Anderson	Indiana	FCC
WFOF	90.3 FM	Covington	Indiana	FCC
WIWC	91.7 FM	Kokomo	Indiana	FCC
WMBL	88.1 FM	Mitchell	Indiana	FCC
WHPL	89.9 FM	West Lafayette	Indiana	FCC
WJSO	90.1 FM	Pikeville	Kentucky	FCC
WGNB	89.3 FM	Zeeland	Michigan	FCC
WMBU	89.1 FM	Forest	Mississippi	FCC
KSPL	89.7 FM	Kalispell	Montana	FCC
KMBN	89.7 FM	Las Cruces	New Mexico	FCC
WCRF-FM	103.3 FM	Cleveland	Ohio	FCC
WVML	90.5 FM	Millersburg	Ohio	FCC
WVMS	89.5 FM	Sandusky	Ohio	FCC
WVME	91.9 FM	Meadville	Pennsylvania	FCC
WVMN	90.1 FM	New Castle	Pennsylvania	FCC
WMBW	88.9 FM	Chattanooga	Tennessee	FCC
WMKW	89.3 FM	Crossville	Tennessee	FCC
WFCM-FM	91.7 FM	Murfreesboro	Tennessee	FCC
WFCM	710 AM	Smyrna	Tennessee	FCC
KMLW	88.3 FM	Moses Lake	Washington	FCC
KMBI	1330 AM	Spokane	Washington	FCC
KMBI-FM	107.9 FM	Spokane	Washington	FCC
KMWY	91.1 FM	Jackson	Wyoming	FCC
