Country	Population (July 2005 est.)	Land Area (km²)	% of arable land (2005 est.)	Arable Land (km²)	Population Density (pop per km²)
World	6,447,437,283	148,940,000	13.31%	19,823,914	43
Singapore	4,425,720	682.7	1.47%	10	6,483
Hong Kong S.A.R. (PRC)	6,898,686	1,042	5.05%	53	6,621
Djibouti	476,703	22,980	0.04%	9	21
Bahrain	688,345	665	2.82%	19	1,035
Kuwait	2,335,648	17,820	0.84%	150	131
Gaza Strip	1,376,289	360	29%	104	3,823
Puerto Rico (US)	3,911,810	8,870	3.69%	327	441
Oman	3,003,265	212,460	0.12%	255	14
U.S. Virgin Islands (US)	108,708	346	5.71%	20	314
French Polynesia (France)	270,735	3,660	0.75%	27	74
Maldives	349,106	300	13.33%	40	1,164
Guam (US)	168,564	541.3	3.64%	20	311
Seychelles	81,188	455	2.17%	10	178
Andorra	70,549	468	2.13%	10	151
Western Sahara	360,684	266,000	0.02%	53	1
United Arab Emirates	4,086,602	82,880	0.77%	638	49
Bermuda (UK)	65,365	53.3	20.00%	11	1,226
The Bahamas	301,790	10,070	0.58%	58	30
Aruba (Netherlands)	96,976	193	10.53%	20	502
Kiribati	103,176	811	2.74%	22	127
Qatar	863,051	11,437	1.64%	188	75
Martinique (France)	432,900	1,060	9.09%	96	408
Grenada	89,527	344	5.88%	20	260
Cayman Islands (UK)	44,340	262	3.85%	10	169
Saint Lucia	166,312	606	6.45%	39	274
Iceland	296,737	100,250	0.07%	70	3
Malta	398,534	316	31.25%	99	1,261
New Caledonia (France)	216,662	18,575	0.32%	59	12
Brunei	361,110	5,270	2.08%	110	69
Solomon Islands	538,133	27,540	0.62%	171	20
South Korea	48,640,671	98,190	16.58%	16,280	495
Marshall Islands	59,096	181.3	11.11%	20	326
Taiwan	22,701,079	32,260	24.00%	7,742	704
Japan	127,537,189	374,744	11.64%	43,620	340
American Samoa (US)	57,881	199	10.00%	20	291
San Marino	28,880	61.2	16.67%	10	472
Federated States of Micronesia	108,082	702	5.71%	40	154
Egypt	77,561,884	995,450	2.92%	29,067	78
Papua New Guinea	5,554,512	452,860	0.49%	2,219	12
West Bank	2,385,615	5,640	16.90%	953	423
Netherlands Antilles (Netherlands)	220,095	960	10%	96	229
Lebanon	3,829,722	10,452	16.35%	1,673	374
Sri Lanka	20,504,264	64,740	13.96%	9,038	317
Sao Tome and Principe	187,604	1,001	8.33%	83	187
Guadeloupe (France)	448,713	1,706	11.70%	200	263
Réunion (France)	776,948	2,507	13.94%	349	310
Netherlands	16,407,491	33,883	21.96%	7,441	484
Israel	6,742,915	20,330	15.45%	3,141	332
Colombia	43,100,021	1,038,700	2.01%	20,878	41
Turks and Caicos Islands (UK)	20,569	430	2.33%	10	48
Bangladesh	144,319,628	133,910	55.39%	74,173	1,078
Switzerland	7,489,370	39,770	9.91	3,941	188
Jordan	5,759,732	91,971	3.32%	3,053	63
Costa Rica	4,018,756	50,660	4.40%	2,229	79
Barbados	278,870	431	37.21%	160	647
French Guiana (France)	195,506	89,150	0.13%	116	2
Saint Vincent and the Grenadines	117,534	389	17.95%	70	302
