Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 17	MONY Senior Tournament of Champions	California	100000	Dave Hill (2)	211 (-5)	30000
Feb 14	General Foods PGA Seniors' Championship	Florida	350000	Gary Player (8)	284 (-4)	63000
Feb 21	GTE Suncoast Classic	Florida	300000	Dale Douglass (5)	210 (-6)	45000
Feb 28	Aetna Challenge	Florida	300000	Gary Player (9)	207 (-9)	45000
Mar 6	Vintage Chrysler Invitational	California	320000	Orville Moody (5)	263 (-25)	48000
Mar 13	GTE Classic	California	275000	Harold Henning (2)	214 (-2)	41250
Mar 20	The Pointe/Del E. Webb Arizona Classic	Arizona	225000	Al Geiberger (4)	199 (-17)	33750
Apr 17	Doug Sanders Kingwood Celebrity Classic	Texas	250000	Chi Chi Rodriguez (11)	208 (-8)	37500
May 8	Vantage at The Dominion	Texas	250000	Billy Casper (7)	205 (-11)	37500
May 15	United Hospitals Classic	Pennsylvania	225000	Bruce Crampton (12)	205 (-5)	33750
May 22	NYNEX/Golf Digest Commemorative	New York	300000	Bob Charles (4)	196 (-14)	45000
May 29	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	250000	Bob Charles (5)	206 (-10)	41250
Jun 5	Senior Players Reunion Pro-Am	Texas	250000	Orville Moody (6)	206 (-10)	37500
Jun 12	Mazda Senior Tournament Players Championship	Florida	400000	Billy Casper (8)	278 (-10)	60000
Jun 19	Northville Long Island Classic	New York	350000	Don Bies (1)	202 (-14)	52500
Jun 26	Southwestern Bell Classic	Oklahoma	250000	Gary Player (10)	203 (-13)	37500
Jul 4	Rancho Murieta Senior Gold Rush	California	350000	Bob Charles (6)	207 (-9)	52500
Jul 10	GTE Northwest Classic	Washington	300000	Bruce Crampton (13)	207 (-9)	45000
Jul 17	Showdown Classic	Utah	350000	Miller Barber (21)	207 (-9)	52500
Jul 23	Newport Cup	Rhode Island	250000	Walt Zembriski (1)	132 (-12)	37500
Jul 31	Digital Seniors Classic	Massachusetts	300000	Chi Chi Rodriguez (12)	202 (-14)	45000
Aug 8	U.S. Senior Open	Illinois	325000	Gary Player (11)	288 (E)	65000
Aug 14	MONY Syracuse Senior Classic	New York	250000	Dave Hill (3)	200 (-16)	37500
Aug 21	Greater Grand Rapids Open	Michigan	250000	Orville Moody (7)	203 (-10)	37500
Aug 28	Vantage presents Bank One Senior Golf Classic	Kentucky	250000	Bob Charles (7)	200 (-10)	37500
Sep 10	GTE North Classic	Indiana	350000	Gary Player (12)	201 (-15)	52500
Sep 18	Crestar Classic	Virginia	325000	Arnold Palmer (10)	203 (-13)	48750
Sep 25	PaineWebber Invitational	North Carolina	300000	Dave Hill (4)	206 (-10)	45000
Oct 2	Pepsi Senior Challenge	Georgia	300000	Bob Charles (8)	139 (-5)	45000
Oct 9	Vantage Championship	North Carolina	1000000	Walt Zembriski (2)	278 (-10)	135000
Oct 30	General Tire Las Vegas Classic	Nevada	250000	Larry Mowry (3)	204 (-12)	37500
Nov 13	Fairfield Barnett Classic	Florida	225000	Miller Barber (22)	197 (-19)	33750
Nov 20	Gus Machado Senior Classic	Florida	300000	Lee Elder (8)	202 (-11)	45000
