Editor	Site	Style, clone of	Cost ( US$ )	Open source	Activity
Ace (editor)	Home, demo	Sublime Text / Microsoft Visual Studio	Free	Yes	Yes
CodeMirror	Home, demo	plain textarea	Free	Yes	Yes
Orion	Home	Eclipse SWT StyledText, regular textarea	Free	Yes	Yes
Monaco Editor	example	Microsoft Visual Studio	used only by Microsoft	No	Yes
Markitup	Home, demo	Markup editor, no syntax highlight	Free	Yes	Some
LDT	Home	regular textarea	Free	Yes	Some
Ymacs	Home, demo	Emacs	Free	Yes	Some
CodePress	Home	Microsoft Visual Studio	Free	Yes	No
CodeTextArea	Home, demo	Microsoft Visual Studio	Free	Yes	No
EditArea	Home, demo	Microsoft Visual Studio	Free	Yes	No
Helene	Home [ dead link ] , demo [ dead link ]	Microsoft Visual Studio	Free	Yes	No
9ne	Home	Emacs	Free	Yes	No
jsvi	Home	vi	Free	Yes	No
MDK-Editor	Home	Microsoft Visual Studio	Depends on use	Code is readable	No
