Pick #	MLS team	Player	Position	Affiliation
21	Dallas Burn	David Comfort	GK	University of Virginia
22	New England Revolution	Dimelon Westfield	F	Clemson University
23	San Jose Earthquakes	Roger Levesque	F	Stanford University
24	Chicago Fire	* Logan Pause	M	University of North Carolina
25	Chicago Fire	Ryan Mack	M	Indiana University
26	Chicago Fire	Phil Swenda	F	Seton Hall University
27	Colorado Rapids	Jason Cole	D	St. Louis University
28	Colorado Rapids	Alex Blake	F	Williams College
29	New England Revolution	Kyle Singer	GK	Boston College
30	MetroStars	Tim Glowienka	D	University of South Carolina
