Rnd	Race	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Report
1	St. Petersburg	Graham Rahal	Justin Wilson	Justin Wilson	Ryan Briscoe	Penske Racing	Report
2	Long Beach	Will Power	Ryan Briscoe	Dario Franchitti	Dario Franchitti	Target Chip Ganassi Racing	Report
3	Kansas	Graham Rahal	Ryan Briscoe	Scott Dixon	Scott Dixon	Target Chip Ganassi Racing	Report
4	Indianapolis	Hélio Castroneves	Dario Franchitti	Scott Dixon	Hélio Castroneves	Penske Racing	Report
5	Milwaukee	Ryan Briscoe	Scott Dixon	Ryan Briscoe	Scott Dixon	Target Chip Ganassi Racing	Report
6	Texas	Dario Franchitti	Ryan Briscoe	Ryan Briscoe	Hélio Castroneves	Penske Racing	Report
7	Iowa	Hélio Castroneves	Hideki Mutoh	Ryan Briscoe	Dario Franchitti	Target Chip Ganassi Racing	Report
8	Richmond	Dario Franchitti	Scott Dixon	Scott Dixon	Scott Dixon	Target Chip Ganassi Racing	Report
9	Watkins Glen	Ryan Briscoe	Ryan Briscoe	Justin Wilson	Justin Wilson	Dale Coyne Racing	Report
10	Toronto	Dario Franchitti	Ryan Briscoe	Dario Franchitti	Dario Franchitti	Target Chip Ganassi Racing	Report
11	Edmonton	Will Power	Mike Conway	Will Power	Will Power	Penske Racing	Report
12	Kentucky	Scott Dixon	Ed Carpenter	Scott Dixon	Ryan Briscoe	Penske Racing	Report
13	Mid-Ohio	Ryan Briscoe	Scott Dixon	Scott Dixon	Scott Dixon	Target Chip Ganassi Racing	Report
14	Sonoma	Dario Franchitti	Hélio Castroneves	Dario Franchitti	Dario Franchitti	Target Chip Ganassi Racing	Report
15	Chicagoland	Ryan Briscoe	Tomas Scheckter	Ryan Briscoe	Ryan Briscoe	Penske Racing	Report
16	Motegi	Scott Dixon	Scott Dixon	Scott Dixon	Scott Dixon	Target Chip Ganassi Racing	Report
