Year	Film name	Music director	Lyricist	Language
1980	Kali Ghata	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1980	Hum Nahi Sudhrenge	Ravindra Jain	Ravindra Jain	Hindi
1980	Yeh Kaisa Insaf ?	Ravindra Jain	Ravindra Jain	Hindi
1980	Maan Abhimam	Ravindra Jain	Ravindra Jain	Hindi
1980	Badrinath Dham	Ravindra Jain	Ravindra Jain	Hindi
1980	Bombay 405 Miles	Kalyanji-Anandji	Indeevar	Hindi
1980	Khwab	Ravindra Jain	Ravindra Jain	Hindi
1980	Sajan Mere Main Sajan Ki	Ravindra Jain	Ravindra Jain	Hindi
1980	Zakhmon Ke Nishan	Ravindra Jain	Ravindra Jain	Hindi
1980	Oh Bewafa	Vedpal Verma	Sawan Kumar	Hindi
1980	Insaaf Ka Tarazu	Ravindra Jain	Ravindra Jain	Hindi
1980	Sau Din Saas Ke	Kalyanji-Anandji	Indeevar	Hindi
1980	Aap To Aise Na The	Usha Khanna	Nida Fazli	Hindi
1980	Jwalamukhi	Kalyanji-Anandji	Anjaan	Hindi
1980	Kaala Pani	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1979	Sunayana	Ravindra Jain	Ravindra Jain	Hindi
1979	Raja Harishchandra	Ravindra Jain	Ravindra Jain	Hindi
1979	Naiyya	Ravindra Jain	Ravindra Jain	Hindi
1979	Har Har Gange	Ravindra Jain	Ravindra Jain	Hindi
1979	Dada	Usha Khanna	Ravindra Jain	Hindi
1979	Aatish	Ravindra Jain	Ravindra Jain	Hindi
1979	Gopal Krishna	Ravindra Jain	Ravindra Jain	Hindi
1979	Sujatha	Ravindra Jain	Mankombu	Malyalam
1979	Raadha Aur Seeta	Ravindra Jain	Ravindra Jain	Hindi
1979	Bhayanak	Usha Khanna	Indeevar	Hindi
1979	Ghar Ki Laaj	Ravindra Jain	Ravindra Jain	Hindi
1979	Man Ka Aangan	Ravindra Jain	Ravindra Jain	Hindi
1979	Ladke Baap Se Badke	Ravindra Jain	Ravindra Jain	Hindi
