Place	Player	Country	Score	To par	Money (US$)
1	Jiyai Shin	South Korea	66-68-70-66=270	−18	314,464
2	Yani Tseng	Taiwan	70-69-68-66=273	−15	196,540
T3	Yuri Fudoh	Japan	66-68-69-71=274	−14	122,838
T3	Eun-Hee Ji	South Korea	68-70-69-67=274	−14	122,838
5	Ai Miyazato	Japan	68-69-68-70=275	−13	88,443
6	Cristie Kerr	United States	71-65-70-70=276	−12	76,651
T7	Lorena Ochoa	Mexico	69-68-71-69=277	−11	65,841
T7	Momoko Ueda	Japan	66-72-70-69=277	−11	65,841
T9	Paula Creamer	United States	72-69-70-67=278	−10	47,563
T9	Natalie Gulbis	United States	69-68-70-71=278	−10	47,563
T9	Hee-Won Han	South Korea	71-69-71-67=278	−10	47,563
T9	In-Kyung Kim	South Korea	71-68-72-67=278	−10	47,563
T9	Karrie Webb	Australia	72-69-69-68=278	−10	47,563
