Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 6	at Houston Oilers	Astrodome	1:00pm	W 29–24	1–0
2	Sun. Sep. 13	New York Jets	Three Rivers Stadium	4:00pm	W 27–10	2–0
3	Sun. Sep. 20	at San Diego Chargers	Jack Murphy Stadium	4:00pm	W 23–6	3–0
4	Sun. Sep. 27	at Green Bay Packers	Lambeau Field	4:00pm	L 17–3	3–1
5	Sun. Oct. 4	Bye	Bye	Bye	Bye	Bye
6	Sun. Oct. 11	at Cleveland Browns	Cleveland Municipal Stadium	1:00pm	L 17–9	3–2
7	Mon. Oct. 19	Cincinnati Bengals	Three Rivers Stadium	9:00pm	W 20–0	4–2
8	Sun. Oct. 25	at Kansas City Chiefs	Arrowhead Stadium	7:30pm	W 27–3	5–2
9	Sun. Nov. 1	Houston Oilers	Three Rivers Stadium	1:00pm	W 21–20	6–2
10	Sun. Nov. 8	at Buffalo Bills	Rich Stadium	4:00pm	L 28–20	6–3
11	Sun. Nov. 15	Detroit Lions	Three Rivers Stadium	1:00pm	W 17–14	7–3
12	Sun. Nov. 22	Indianapolis Colts	Three Rivers Stadium	1:00pm	W 30–14	8–3
13	Sun. Nov. 29	at Cincinnati Bengals	Riverfront Stadium	1:00pm	W 21–9	9–3
14	Sun. Dec. 6	Seattle Seahawks	Three Rivers Stadium	1:00pm	W 20–14	10–3
15	Sun. Dec. 13	at Chicago Bears	Soldier Field	1:00pm	L 30–6	10–4
16	Sun. Dec. 20	Minnesota Vikings	Three Rivers Stadium	1:00pm	L 6–3	10–5
17	Sun. Dec. 27	Cleveland Browns	Three Rivers Stadium	1:00pm	W 23–13	11–5
