Position	Gymnast	Floor	Pommel Horse	Rings	Vault	Parallel Bars	Horizontal Bar	Total
1	Jonathan Horton ( USA )	15.350	13.925	15.325	15.950	15.525	15.575	91.650
2	Rafael Martínez ( ESP )	15.550	14.800	14.325	15.750	15.100	15.275	90.800
3	Alexander Artemev ( USA )	14.875	15.250	13.675	15.825	15.175	14.925	89.725
4	Anton Fokin ( UZB )	14.325	14.725	14.825	15.625	16.150	13.625	89.275
5	Daniel Keatings ( GBR )	14.900	15.175	13.775	15.625	14.900	14.575	88.950
6	Enrico Pozzo ( ITA )	14.800	14.325	14.250	15.700	14.750	14.850	88.675
7	Alexander Shatilov ( ISR )	15.600	13.825	14.075	15.575	14.500	14.225	87.800
8	Matteo Morandi ( ITA )	14.175	13.700	16.025	16.100	13.725	13.850	87.575
9	Claudio Capelli ( SUI )	13.600	14.475	14.375	15.325	14.100	14.675	86.550
10	Sergio Muñoz ( ESP )	14.575	12.700	15.150	16.100	13.675	13.300	85.500
11	Louis Smith ( GBR )	13.700	15.325	13.325	15.375	13.425	14.175	85.325
12	Jorge Hugo Giraldo ( COL )	14.200	13.350	13.950	15.150	14.025	13.975	84.650
13	Mohamed Srour ( EGY )	13.450	13.250	12.675	15.325	12.375	14.125	81.200
14	Joseph Hagerty ( USA )	15.275	13.925	N/A	15.700	15.350	15.400	75.650
15	Justin Spring ( USA )	14.400	N/A	14.175	15.900	15.800	15.375	75.650
16	Raj Bhavsar ( USA )	14.175	14.050	15.325	16.175	15.625	N/A	75.350
17	Iván San Miguel ( ESP )	N/A	13.775	15.200	16.050	14.375	14.525	73.925
18	Manuel Carballo ( ESP )	14.650	14.475	14.900	N/A	15.275	13.025	72.325
19	Andrea Coppolino ( ITA )	14.025	12.925	15.975	14.825	13.675	N/A	71.425
20	Matteo Angioletti ( ITA )	14.250	N/A	15.625	16.500	N/A	13.575	59.950
21	Isaac Botella ( ESP )	14.975	13.600	14.900	16.050	N/A	N/A	59.525
22	Gervasio Deferr ( ESP )	15.825	N/A	N/A	15.075	14.600	13.725	59.225
23	Alberto Busnari ( ITA )	13.525	15.125	N/A	N/A	14.625	14.375	57.650
24	Kai Wen Tan ( USA )	N/A	14.100	15.725	N/A	N/A	14.425	44.250
25	Igor Cassina ( ITA )	N/A	13.800	N/A	0.000	14.125	16.000	43.925
26	Nashwan Al-Harazi ( YEM )	13.250	12.525	N/A	15.400	N/A	N/A	41.175
27	Vlasios Maras ( GRE )	N/A	N/A	N/A	15.925	N/A	13.975	29.900
28	Ilia Giorgadze ( GEO )	14.625	N/A	N/A	N/A	15.150	N/A	29.775
29	Christoph Schärer ( SUI )	N/A	13.150	N/A	N/A	N/A	15.350	28.500
30	Leszek Blanik ( POL )	N/A	N/A	N/A	16.700	N/A	N/A	16.700
