Res.	Record	Opponent	Method	Event	Round	Location
Win	12–5	Danilo Pereira	Submission (heel hook)	2009 M-1 Challenge Season#Final round	1	St. Petersburg , Russia
Win	11-5	Matt Thorpe	Submission (reverse heel hook)	2009 M-1 Challenge Season#Final round	1	Rostov-on-Don , Russia
Win	10–5	Jason Jones	Submission (heel hook)	M-1 Global	2	St. Petersburg , Russia
Win	9–5	Eulogio Fernandez	Submission (toe hold)	M-1 Global	1	St. Petersburg , Russia
Loss	8–5	Adlan Amagov	Decision (unanimous)	Perm Regional MMA	2	Perm , Russia
Loss	8–4	Yuta Watanabe	Submission (rear naked choke)	M-1 Global	1	St. Petersburg , Russia
Win	8–3	Sergey Podyachikh	TKO (punches)	Legion Fight 2	1	Krasnodar , Russia
Loss	7–3	Nick Thompson	Submission (rear naked choke)	Bodog Fight – USA vs Russia	1	Vancouver, British Columbia , Canada
Loss	7–2	Josh Koscheck	Submission (rear naked choke)	UFC Ultimate Fight Night 4	1	Las Vegas, Nevada , United States
Loss	7–1	Thiago Alves	KO (punches)	UFC 56	1	Las Vegas, Nevada , United States
Win	7–0	Dennis Hallman	TKO (corner stoppage)	Euphoria – USA vs. Russia	2	Atlantic City, New Jersey , United States
Win	6–0	Dave Strasser	Submission (guillotine choke)	M-1 MFC – Russia vs the World 7	1	St. Petersburg , Russia
Win	5–0	Vladimir Yushko	Submission (armbar)	M-1 MFC – Russia vs the World 6	1	Moscow , Russia
Win	4–0	Denis Komkin	Decision (majority)	M-1 MFC – Russia vs the World 5	1	St. Petersburg , Russia
Win	3–0	Krzysztof Kulak	Submission (choke)	WAFC World Championship 2003	1	Moscow , Russia
Win	2–0	Vitelmo Kubis Bandeira	KO (punch)	WAFC – World Championship 2003	1	Moscow , Russia
Win	1–0	Andrei Rudakov	TKO	WAFC World Championship 2003	2	Moscow , Russia
