No. in series	Title	Directed by	Written by	Original air date
1	"Body and Soul"	Peter Sharp & Mark Piper	Howard Griffiths	24February1998
2	"Everybody's Human"	Mark Piper	Susan Bower	24February1998
3	"Gut Feeling"	Grant Brown	Susan Bower	3March1998
4	"A Question of Strength"	Richard Sarell	Bevan Lee	10March1998
5	"Night Shift"	Richard Jasek	Anthony Ellis	17March1998
6	"Give and Take"	Mark Piper	Grant Fraser	24March1998
7	"Combat Zone"	Peter Sharp	Ro Hume	31March1998
8	"Think Positive"	Mark Piper	Grant Fraser & Andy Ryan	7April1998
9	"Forget Me Not"	Karl Zwicky	Greg Haddrick	14April1998
10	"A Little Magic"	Richard Sarell	Louise Crane-Bowes	21April1998
11	"Terminal Speed"	Peter Sharp	Annette Moore	28April1998
12	"Heart to Heart"	Di Drew	David Phillips	5May1998
13	"The Hard Yards"	Scott Feeney	Margaret Wilson	12May1998
14	"Goodnight Sweetheart"	Karl Zwicky	David Allen	19May1998
15	"Crimes of the Heart"	Paul Faint	Julie Monton	26May1998
16	"Nothing But the Truth"	Di Drew	Andy Ryan & Katherine Thomson	2June1998
17	"Babes in the Woods"	Scott Feeney	Louise Crane-Bowes	9June1998
18	"Sounds of Silence"	Grant Brown	Chris Phillips	16June1998
19	"Hard Day's Night"	Leigh Spence	Grant McAloon	23June1998
20	"Revelations"	Paul Faint	Anthony Ellis-Morris	30June1998
21	"Smooth Operator"	Karl Zwicky	Marcia Gardner	7July1998
22	"Truth or Dare"	Karl Steinberg	Ro Hume	14July1998
23	"Possession"	Leigh Spence	Ro Hume	21July1998
24	"The Price You Pay"	Peter Sharp	Peter Kinloch & Louise Crane	28July1998
25	"A Mother's Love"	Geoff Cawthorn	Tracey Trinder-Doig & Andy Ryan	4August1998
26	"Touch and Go"	Robert Klenner	Bevan Lee	11August1998
27	"Yesterday's News"	Catherine Roden	Louise Crane-Bowes	18August1998
28	"Family Feud"	Peter Sharp	Sally Webb	25August1998
29	"Little White Lies"	Geoff Cawthorn	Carol Williams & Andy Ryan	1September1998
30	"Best Laid Plans"	Robert Klenner	David Phillips	8September1998
31	"Parting Friends"	Catherine Roden	Chris Hawkshaw	15September1998
32	"Cards on the Table"	Scott Feeney	Grant Fraser	22September1998
33	"Boys Will Be Boys"	Geoff Cawthorn	David Phillips	29September1998
34	"Live Now, Pay Later"	Robert Klenner	Michaeley O'Brien	29September1998
35	"Out of Control"	Catherine Roden	Grant McAloon & Annette Moore	6October1998
36	"Mirror, Mirror on the Wall"	Scott Feeney	Louise Crane-Bowes	13October1998
37	"The Price of Love"	Mark Piper	Alexa Wyatt	20October1998
38	"Happy Death Day"	Grant Brown	Charlie Strachan	27October1998
39	"Moment of Truth"	Peter Fisk	Anne Lucas	3November1998
40	"Hard Rain"	Scott Feeney	Marcia Gardner	10November1998
41	"Christmas Spice"	Mark Piper	Margaret Wilson	17November1998
