Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	N/H/L Racing	93	1:45:32.136	2	33
Graham Rahal	N/H/L Racing	93	+4.8 secs	6	27
Robert Doornbos	Minardi Team USA	93	+7.1 secs	13	26
Oriol Servia	Forsythe Racing	93	+8.7 secs	5	23
Simon Pagenaud	Team Australia	93	+9.5 secs	7	21
Mario Dominguez	Forsythe Racing	93	+19.1 secs	9	19
Bruno Junqueira	Dale Coyne Racing	93	+19.1 secs	10	17
Ryan Dalziel	Pacific Coast Motorsports	93	+20.3 secs	15	15
Alex Tagliani	RSPORTS	93	+25.1 secs	11	13
Justin Wilson	RSPORTS	93	+28.5 secs	3	11
Will Power	Team Australia	92	+ 1 Lap	1	11
Roberto Moreno	Pacific Coast Motorsports	90	+ 3 Laps	16	9
Tristan Gommendy	PKV Racing	86	Mechanical	8	8
Matt Halliday	Conquest Racing	77	+ 16 Laps	14	7
Neel Jani	PKV Racing	67	Contact	4	6
Katherine Legge	Dale Coyne Racing	67	Contact	17	5
Dan Clarke	Minardi Team USA	67	Contact	12	4
