Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	21-4(1)	Mark Hunt	KO (punch)	UFC 127	2	1:41	Sydney , Australia
Loss	21-3(1)	Brendan Schaub	TKO (punches)	UFC 116	1	1:07	Las Vegas, Nevada , United States
Win	21-2(1)	Tim Hague	Decision (majority)	UFC 109	3	5:00	Las Vegas, Nevada , United States
Loss	20-2(1)	Gabriel Gonzaga	TKO (punches)	UFC 102	1	2:27	Portland, Oregon , United States
Win	20-1(1)	Jamie Klair	TKO (punches)	SNMMA: Extreme Beatdown	1	2:19	Phoenix, Arizona , United States
Win	19-1(1)	Branden Lee Hinkle	TKO (punches)	SNMMA: Beatdown at 4 Bears	4	4:43	New Town, North Dakota , United States
Win	18-1(1)	Tony Mendoza	Submission (armbar)	Max Fights 4	1	2:43	North Dakota , United States
Loss	17-1(1)	Travis Wiuff	Decision (unanimous)	YAMMA Pit Fighting	3	5:00	Atlantic City, New Jersey , United States
Win	17-0(1)	Alexey Oleinik	Decision (unanimous)	YAMMA Pit Fighting	1	5:00	Atlantic City, New Jersey , United States
Win	16-0(1)	Tony Sylvester	Decision (unanimous)	YAMMA Pit Fighting	1	5:00	Atlantic City, New Jersey , United States
Win	15-0(1)	Travis Fulton	Decision (unanimous)	Max Fights 2	3	5:00	Fargo, North Dakota , United States
Win	14-0(1)	Jimmy Ambriz	Submission (rear naked choke)	Extreme Challenge 85	1	4:43	Bismarck, North Dakota , United States
Win	13-0(1)	Matt Eckerle	TKO (punches)	DFC 9: Dakota vs. the World	1	2:17	Grand Forks, North Dakota , United States
Win	12-0(1)	Chuck Grigsby	TKO (punches)	DFC 8: Proving Grounds	1	3:49	Fargo, North Dakota , United States
Win	11-0(1)	Demian Decorah	TKO (punches)	DFC 7: Revolution	1	4:24	Bismarck, North Dakota , United States
NC	10-0(1)	Josh Hendricks	No Contest - Overturned by commission	Fightfest 2	1	N/A	Canton, Ohio , United States
Win	10-0	Ed Myers	TKO (punches)	Royce Gracie Fightfest 1	1	1:05	Evansville, Indiana , United States
Win	9-0	Jim Dobson	TKO (punches)	DFC 5: Legends of the Falls	1	0:55	Thief River Falls, Minnesota , United States
Win	8-0	Matt Lafromboise	Submission (punches)	NFA: Last Dam Fights	1	1:44	Fargo, North Dakota , United States
Win	7-0	Chris Clark	Submission (punches)	DFC 4: Nowhere to Run	1	1:06	Fargo, North Dakota , United States
Win	6-0	Jason Miller	Submission (punches)	NFA: Throwdown in Jamestown 2	1	0:18	Fargo, North Dakota , United States
Win	5-0	Karl Knothe	Submission (rear-naked choke)	Cage Fighting Xtreme 3	2	N/A	Brainerd, Minnesota , United States
Win	4-0	Marc Zee	TKO (punches)	DFC 3 - Submission Impossible	1	2:25	Fargo, North Dakota , United States
Win	3-0	Noah Inhofer	TKO (punches)	DFC 2 - Reloaded	1	2:02	Fargo, North Dakota , United States
Win	2-0	Krzysztof Soszynski	Decision (unanimous)	NFA: Title Trials	3	3:00	Moorhead, Minnesota , United States
Win	1-0	Sean Cooke	Submission (choke)	Dakota Fighting Championships 1	1	0:28	Fargo, North Dakota , United States
