Pick #	Player	Position	Nationality	NHL team	College/junior/club team
85	Arto Javanainen	Right Wing	Finland	Pittsburgh Penguins	Ässät (Finland)
86	Jon Morris	Centre	United States	New Jersey Devils	Chelmsford High School (USHS-MA)
87	David Grannis	Left Wing	United States	Los Angeles Kings	South St. Paul High School (USHS-MN)
88	Jack Capuano	Defence	United States	Toronto Maple Leafs	Kent School (USHS-CT)
89	Jiri Poner	Right Wing	Czechoslovakia	Minnesota North Stars	Landshut (West Germany)
90	Timo Lehkonen	Goaltender	Finland	Chicago Black Hawks	Jokerit (Finland)
91	Mats Lundstrom	Left Wing	Sweden	Detroit Red Wings	Skelleftea AIK (Sweden)
92	Scott Paluch	Defence	United States	St. Louis Blues	Franklin Park Jets (USHL)
93	Scott Schneider	Centre	United States	Winnipeg Jets	Colorado College (WCHA)
94	Brett MacDonald	Defence	Canada	Vancouver Canucks	North Bay Centennials (OHL)
95	Gerald Johannson	Defence	Canada	Montreal Canadiens	Swift Current Broncos (WHL)
96	Joel Paunio	Left Wing	Finland	Calgary Flames	HIFK (Finland)
97	Kari Takko	Goaltender	Finland	Minnesota North Stars	Assat (Finland)
98	Clark Donatelli	Left Wing	United States	New York Rangers	Stratford Cullitons (MWJBHL)
99	Brent Severyn	Defence	Canada	Winnipeg Jets	Seattle Breakers (WHL)
100	Brian Dobbin	Right Wing	Canada	Philadelphia Flyers	London Knights (OHL)
101	Darin Sceviour	Right Wing	Canada	Chicago Black Hawks	Lethbridge Broncos (WHL)
102	Joey Rampton	Left Wing	Canada	Buffalo Sabres	Sault Ste. Marie Greyhounds (OHL)
103	Mike Bishop	Goaltender	Canada	Boston Bruins	London Knights (OHL)
104	Mike Murray	Centre	Canada	New York Islanders	London Knights (OHL)
105	Richard Lambert	Left Wing	Canada	Edmonton Oilers	Henry Carr Crusaders (MetJHL)
