Date	Competition	Venue	Result	Score	Goals
3/3/00	Super League V	Knowsley Road	W	32-10	H.Paul 6/6
19/3/00	Super League V	Odsal Stadium	W	58-4	H.Paul 7/11
2/4/00	Super League V	McAlpine Stadium	W	60-2	H.Paul 10/10
9/4/00	Super League V	Odsal Stadium	W	44-12	H.Paul 7/7, H.Paul 1 DG, Lowes 1 DG
16/4/00	Super League V	The Willows	W	52-1	Deacon 8/9
21/4/00	Super League V	Odsal Stadium	W	32-12	Deacon 6/6
3/5/00	Super League V	The Boulevard	D	8-8	Deacon 2/2
7/5/00	Super League V	Odsal Stadium	W	44-16	H.Paul 6/8
12/5/00	Super League V	Odsal Stadium	W	62-2	H.Paul 9/11
19/5/00	Super League V	Headingley Stadium	W	44-2	H.Paul 8/8
28/5/00	Super League V	Wilderspool Stadium	L	32-42	H.Paul 6/6
2/6/00	Super League V	Odsal Stadium	W	17-16	H.Paul 2/3, Deacon 1 DG
7/6/00	Super League V	JJB Stadium	D	12-12	H.Paul 4/4
11/6/00	Super League V	Odsal Stadium	W	48-20	H.Paul 6/9
16/6/00	Super League V	The Jungle	W	39-10	H.Paul 7/7, Boyle 1 DG
25/6/00	Super League V	Odsal Stadium	W	96-16	H.Paul 14/17
30/6/00	Super League V	Odsal Stadium	L	18-30	H.Paul 3/3
9/7/00	Super League V	The Valley	W	24-16	H.Paul 4/4
14/7/00	Super League V	Odsal Stadium	W	56-6	H.Paul 8/10
23/7/00	Super League V	Belle Vue	W	30-20	H.Paul 5/5
30/7/00	Super League V	Odsal Stadium	L	26-28	H.Paul 1/1, Deacon 4/4
6/8/00	Super League V	Shay Stadium	D	20-20	H.Paul 6/6
11/8/00	Super League V	Odsal Stadium	W	28-8	H.Paul 4/5
18/8/00	Super League V	Odsal Stadium	W	52-20	H.Paul 8/9
27/8/00	Super League V	JJB Stadium	L	19-20	H.Paul 3/3, Deacon 1 DG
3/9/00	Super League V	Shay Stadium	W	25-18	H.Paul 4/4, Deacon 1 DG
8/9/00	Super League V	Odsal Stadium	W	14-12	H.Paul 3/3
17/9/00	Super League V	The Boulevard	L	12-25	Deacon 2/2
