Date	Visitor	Score	Home	Decision	Attendance	Record
October 5	Washington	3 - 1	Atlanta	Johnson	18,707	1-0-0
October 6	Carolina	0 - 2	Washington	Kolzig	16,741	2-0-0
October 8	Washington	2 - 1	NY Islanders	Kolzig	16,234	3-0-0
October 12	Washington	1 - 3	NY Rangers	Kolzig	18,200	3-1-0
October 13	Washington	3 - 7	Buffalo	Johnson	18,690	3-2-0
October 18	NY Islanders	5 - 2	Washington	Kolzig	11,036	3-3-0
October 20	Pittsburgh	2 - 1	Washington	Johnson	18,277	3-4-0
October 24	Tampa Bay	3 - 5	Washington	Kolzig	10,226	4-4-0
October 26	Vancouver	3 - 2	Washington	Kolzig	12,705	4-5-0
October 27	Washington	3 - 4	St. Louis	Johnson	16,863	4-6-0
October 29	Washington	7 - 1	Toronto	Kolzig	19,316	5-6-0
