Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	18	32:07.576	3
Max Neukirchner	Suzuki GSX-R1000	18	+0.009	2
Ryuichi Kiyonari	Honda CBR1000RR	18	+0.051	8
Fonsi Nieto	Suzuki GSX-R1000	18	+4.489	7
Michel Fabrizio	Ducati 1098 F08	18	+10.272	13
Karl Muggeridge	Honda CBR1000RR	18	+10.376	10
Ruben Xaus	Ducati 1098 RS 08	18	+10.496	6
Troy Corser	Yamaha YZF-R1	18	+12.498	12
Ayrton Badovini	Kawasaki ZX-10R	18	+19.429	18
Gregorio Lavilla	Honda CBR1000RR	18	+26.373	16
Lorenzo Lanzi	Ducati 1098 RS 08	18	+26.544	23
Shinichi Nakatomi	Yamaha YZF-R1	18	+26.895	17
Russell Holland	Honda CBR1000RR	18	+27.761	22
Sébastien Gimbert	Yamaha YZF-R1	18	+29.661	19
Michael Beck	Yamaha YZF-R1	18	+1:29.001	28
Shuhei Aoyama	Honda CBR1000RR	15	+3 Laps	21
Makoto Tamada	Kawasaki ZX-10R	17	Retirement	14
Max Biaggi	Ducati 1098 RS 08	15	Accident	9
Jakub Smrz	Ducati 1098 RS 08	18	Accident	15
Carlos Checa	Honda CBR1000RR	9	Accident	4
Loic Napoleone	Yamaha YZF-R1	9	Retirement	27
Troy Bayliss	Ducati 1098 F08	8	Retirement	1
Régis Laconi	Kawasaki ZX-10R	6	Accident	11
Yukio Kagayama	Suzuki GSX-R1000	4	Accident	5
Vittorio Iannuzzo	Kawasaki ZX-10R	3	Retirement	20
Luca Morelli	Honda CBR1000RR	1	Retirement	24
