Place	Player	Country	Score	To par	Money ( $ )
T1	Nick Faldo	England	71-72-66-69=278	–10	Playoff
T1	Raymond Floyd	United States	70-68-68-72=278	–10	Playoff
T3	John Huston	United States	66-74-68-75=283	–5	72,500
T3	Lanny Wadkins	United States	72-73-70-68=283	–5	72,500
5	Fred Couples	United States	74-69-72-69=284	–4	50,000
6	Jack Nicklaus	United States	72-70-69-74=285	–3	45,000
T7	Seve Ballesteros	Spain	74-73-68-71=286	–2	35,150
T7	Bill Britton	United States	68-74-71-73=286	–2	35,150
T7	Bernhard Langer	West Germany	70-73-69-74=286	–2	35,150
T7	Scott Simpson	United States	74-71-68-73=286	–2	35,150
T7	Curtis Strange	United States	70-73-71-72=286	–2	35,150
T7	Tom Watson	United States	77-71-67-71=286	–2	35,150
