Branding	Callsign	Frequency	Power (kW)	Location
Sonshine Radio*	DZAR	1026kHz	50kW	Metro Manila
Sonshine Radio Laoag*	DWAR	819kHz	5kW	Laoag
Sonshine Radio Dagupan	DZRD	981kHz	5kW	Dagupan
Sonshine Radio Tuguegarao	DZYT	765kHz	5kW	Tuguegarao
Sonshine Radio Ilagan	DZYI	711kHz	5kW	Ilagan, Isabela
Sonshine Radio Santiago	DWSI	864kHz	5kW	Santiago, Isabela
Sonshine Radio Cabanatuan*	DWAY	1332kHz	5kW	Cabanatuan
Sonshine Radio San Pablo*	DZSP	864kHz	5kW	San Pablo
Sonshine Radio Cebu*	DYAR	765kHz	5kW	Cebu
Sonshine Radio Zamboanga*	DXYZ	963kHz	5kW	Zamboanga
Sonshine Radio Davao*	DXRD	711kHz	10kW	Davao
Kingdom Radio	DXAQ	1404kHz	15kW	Davao Central
Sonshine Radio Cagayan De Oro*	DXCL	1098kHz	5kW	Cagayan De Oro
Sonshine Radio General Santos*	DXRE	837kHz	5kW	General Santos
Sonshine Radio Cotabato	DXRO	945kHz	5kW	Cotabato
Sonshine Radio Butuan	DXRB	873kHz	5kW	Butuan
Sonshine Radio Bislig	DXBL	801kHz	1kW	Bislig
