Year	Song name	Film name	Co-singer	Music director	Lyricist	Language
2000	"Man Saari Umar"	Ganga Kare Insaaf	Solo	Ravindra Jain	Ravindra Jain	Bhojpuri
1999	"Shono Chandannagare"	Tomay Pabo Bole	Bappi Lahiri	Bappi Lahiri	Pulak Bandopadhyay	Bengali
1997	"Dekho Ji"	Mohabbat Kya Hai	Vinod Rathod	Rajan Bawa	Rajan Bawa	Hindi
1997	"Bigadi Ke Banane Mein"	Shaan-e-khwaja – 2	Solo	Mami Bhachu	Anwar Farrukhabadi	Urdu
1995	"Shyam Baba"	Kalyug Ke Avtaar	Mohammad Aziz	Ravindra Jain	Ravindra Jain	Hindi
1995	"Saj Ke Aayi"	Parbatiya Banal Panditayain Bitiya Bhail	Usha Mangeshkar	Chitragupta	Anjaan	Bhojpuri
1995	"Jekhanete Jaai Ami 1"	Bhagya Debata	Abhijeet	Madhu Burman	Pulak Bandopadhyay	Bengali
1995	"Jekhanete Jaai Ami 2"	Bhagya Debata	Solo	Madhu Burman	Pulak Bandopadhyay	Bengali
1995	"E Raat Jeno Kichhu Balte Chay"	Bhagya Debata	Udit Narayan	Madhu Burman	Pulak Bandopadhyay	Bengali
1995	"Rimjhim Rimjhim"	Tera Dukh Mera Dukh	Suresh Wadkar	Rajan-Arvind	Rajan	Hindi
1995	"Itni Khushiyaan Jaaneman"	Tera Dukh Mera Dukh	Vinod Rathod	Rajan-Arvind	Rajan	Hindi
1995	"Tera Dukh Mera Dukh (female)"	Tera Dukh Mera Dukh	Solo	Rajan-Arvind	Rajan	Hindi
1994	"Jitani Door Nayan Se Sapna"	Kokh	Solo	Ravindra Jain	Ravindra Jain	Hindi
1993	"Sun Re Sajjan", "Hai Main Hairat Mein Pad Gayi"	Kaal Bhairav	K. J. Yesudas	Ravindra Jain	Ravindra Jain	Hindi
1993	"Main Hun Misri Ki Rani"	Jaan Pe Khelkar	Suresh Wadkar , Mohammad Aziz	Ravindra Jain	Ravindra Jain	Hindi
1993	"Mera Wada Hua"	Jaan Pe Khelkar	Suresh Wadkar	Ravindra Jain	Ravindra Jain	Hindi
1993	"Chod Desh Chali"	Gouri	Solo	Jugal Kishore-Tilak Raj	Kusum Joshi	Rajasthani
1993	"Savan Aayo Re"	Gouri	Jayshri Shivram	Jugal Kishore – Tilak Raj	Kusum Joshi	Rajasthani
1992	"Aey Sanam Ye Bataa"	Rajoo Dada	Suresh Wadkar	Usha Khanna	Sajan Dehlvi	Hindi
1992	"Aaj Hum Aapke Makaan Main Hain"	Rajoo Dada	Manhar Udhas	Usha Khanna	Asad Bhopali	Hindi
1992	"Meri Khushi Ko Loota Nazar Se Ghira Diya"	Rajoo Dada	Solo	Usha Khanna	Sajan Dehlvi	Hindi
1991	"Haath Ki Safai Ka"	Princess From Kathmandu	Suresh Wadkar	Ravindra Jain	Ravindra Jain	Hindi
1991	"Sakhi Re Main To"	Pyar Ka Sawan	Anup Jalota	Ravindra Jain	Ravindra Jain	Hindi
1991	"Neele Neele Neel Gagan"	Prem Daan	Vivek Sharma	Ravindra Jain	Ravindra Jain	Hindi
