Number	Game	Date	Pitcher	Team	Inning
1	11	04-26-1961	Paul Foytack	Detroit Tigers	5th
2	17	05-03-1961	Pedro Ramos	Minnesota Twins	7th
3	20	05-06-1961	Eli Grba	Los Angeles Angels	5th
4	29	05-17-1961	Pete Burnside	Washington Senators	8th
5	30	05-19-1961	Jim Perry	Cleveland Indians	1st
6	31	05-20-1961	Gary Bell	Cleveland Indians	3rd
7	32	05-21-1961	Chuck Estrada	Baltimore Orioles	1st
8	35	05-24-1961	Gene Conley	Boston Red Sox	4th
9	38	05-28-1961	Cal McLish	Chicago White Sox	2nd
10	40	05-30-1961	Gene Conley	Boston Red Sox	3rd
11	40	05-30-1961	Mike Fornieles	Boston Red Sox	8th
12	41	05-31-1961	Billy Muffett	Boston Red Sox	3rd
13	43	06-02-1961	Cal McLish	Chicago White Sox	3rd
14	44	06-03-1961	Bob Shaw	Chicago White Sox	8th
15	45	06-04-1961	Russ Kemmerer	Chicago White Sox	3rd
16	48	06-06-1961	Ed Palmquist	Minnesota Twins	6th
17	49	06-07-1961	Pedro Ramos	Minnesota Twins	3rd
18	52	06-09-1961	Ray Herbert	Kansas City Athletics	7th
19	55	06-11-1961	Eli Grba	Los Angeles Angels	3rd
20	55	06-11-1961	Johnny James	Los Angeles Angels	7th
21	57	06-13-1961	Jim Perry	Cleveland Indians	6th
22	58	06-14-1961	Gary Bell	Cleveland Indians	4th
23	61	06-17-1961	Don Mossi	Detroit Tigers	4th
24	62	06-18-1961	Jerry Casale	Detroit Tigers	8th
25	63	06-19-1961	Jim Archer	Kansas City Athletics	9th
26	64	06-20-1961	Joe Nuxhall	Kansas City Athletics	1st
27	66	06-22-1961	Norm Bass	Kansas City Athletics	2nd
28	74	07-01-1961	Dave Sisler	Washington Senators	9th
29	75	07-02-1961	Pete Burnside	Washington Senators	3rd
30	75	07-02-1961	Johnny Klippstein	Washington Senators	7th
31	77	07-04-1961	Frank Lary	Detroit Tigers	8th
32	78	07-05-1961	Frank Funk	Cleveland Indians	7th
33	82	07-09-1961	Bill Monbouquette	Boston Red Sox	7th
34	84	07-13-1961	Early Wynn	Chicago White Sox	1st
35	86	07-15-1961	Ray Herbert	Chicago White Sox	3rd
36	92	07-21-1961	Bill Monbouquette	Boston Red Sox	1st
37	95	07-25-1961	Frank Baumann	Chicago White Sox	4th
38	95	07-25-1961	Don Larsen	Chicago White Sox	8th
39	96	07-25-1961	Russ Kemmerer	Chicago White Sox	4th
40	96	07-25-1961	Warren Hacker	Chicago White Sox	7th
41	106	08-04-1961	Camilo Pascual	Minnesota Twins	1st
42	114	08-11-1961	Pete Burnside	Washington Senators	5th
43	115	08-12-1961	Dick Donovan	Washington Senators	4th
44	116	08-13-1961	Bennie Daniels	Washington Senators	4th
45	117	08-13-1961	Marty Kutyna	Washington Senators	1st
46	118	08-15-1961	Juan Pizarro	Chicago White Sox	4th
47	119	08-16-1961	Billy Pierce	Chicago White Sox	1st
48	119	08-16-1961	Billy Pierce	Chicago White Sox	3rd
49	124	08-20-1961	Jim Perry	Cleveland Indians	3rd
50	125	08-22-1961	Ken McBride	Los Angeles Angels	6th
51	129	08-26-1961	Jerry Walker	Kansas City Athletics	6th
52	135	09-02-1961	Frank Lary	Detroit Tigers	6th
53	135	09-02-1961	Hank Aguirre	Detroit Tigers	8th
54	140	09-06-1961	Tom Cheney	Washington Senators	4th
55	141	09-07-1961	Dick Stigman	Cleveland Indians	3rd
56	143	09-09-1961	Mudcat Grant	Cleveland Indians	7th
57	151	09-16-1961	Frank Lary	Detroit Tigers	3rd
58	152	09-17-1961	Terry Fox	Detroit Tigers	12th
59	155	09-20-1961	Milt Pappas	Baltimore Orioles	3rd
60	159	09-26-1961	Jack Fisher	Baltimore Orioles	3rd
61	162	10-01-1961	Tracy Stallard	Boston Red Sox	4th
