Year (Ceremony)	Film title used in nomination	Persian title	Director	Result
1977 (50th)	The Cycle	دايره مينا	Dariush Mehrjui Category:Articles with hCards	Not Nominated
1994 (67th)	Through the Olive Trees	زیر درختان زیتون	Abbas Kiarostami Category:Articles with hCards	Not Nominated
1995 (68th)	The White Balloon	بادکنک سفید	Jafar Panahi Category:Articles with hCards	Not Nominated
1997 (70th)	Gabbeh	گبه	Mohsen Makhmalbaf Category:Articles with hCards	Not Nominated
1998 (71st)	Children of Heaven	بچه های آسمان	Majid Majidi Category:Articles with hCards	Nominee
1999 (72nd)	The Color of Paradise	رنگ خدا	Majid Majidi Category:Articles with hCards	Not Nominated
2000 (73rd)	A Time for Drunken Horses	زمانی برای مستی اسب‌ها	Bahman Ghobadi Category:Articles with hCards	Not Nominated
2001 (74th)	Baran	باران	Majid Majidi Category:Articles with hCards	Not Nominated
2002 (75th)	I'm Taraneh, 15	من ترانه 15 سال دارم	Rasul Sadrameli Category:Articles with hCards	Not Nominated
2003 (76th)	Deep Breath	نفس عمیق	Parviz Shahbazi Category:Articles with hCards	Not Nominated
2004 (77th)	Turtles Can Fly	لاک‌پشت‌ها هم پرواز می‌کنند	Bahman Ghobadi Category:Articles with hCards	Not Nominated
2005 (78th)	So Close, So Far	خیلی دور خیلی نزدیک	Reza Mir Karimi Category:Articles with hCards	Not Nominated
2006 (79th)	Café Transit	کافه ترانزیت	Kambuzia Partovi Category:Articles with hCards	Not Nominated
2007 (80th)	M for Mother	میم مثل مادر	Rasul Mollagholipour Category:Articles with hCards	Not Nominated
2008 (81st)	The Song of Sparrows	آواز گنجشکها	Majid Majidi Category:Articles with hCards	Not Nominated
2009 (82nd)	About Elly...	...درباره الی	Asghar Farhadi Category:Articles with hCards	Not Nominated
2010 (83rd)	Farewell Baghdad	بدرود بغداد	Mehdi Naderi Category:Articles with hCards	Not Nominated
2011 (84th)	A Separation	جدایی نادر از سیمین	Asghar Farhadi Category:Articles with hCards	Won Academy Award
