Finished	Time/ Behind	Post	Horse	Jockey	Trainer	Owner
15	31 ¾	1	Cool Coal Man	Julien Leparoux	Nick Zito	Robert V. LaPenta
4	11	2	Tale of Ekati	Eibar Coa	Barclay Tagg	Charles E. Fipke
7	15	3	Anak Nakal	Rafael Bejarano	Nick Zito	Four Roses Thoroughbreds LLC
13	24 ¼	4	Court Vision	Garrett Gomez	William I. Mott	IEAH Stables & WinStar Farm LLC
2	04 ¾	5	Eight Belles	Gabriel Saez	Larry Jones	Fox Hill Farms, Inc.
10	19 ½	6	Z Fortune	Robby Albarado	Steve Asmussen	Zayat Stables, LLC
18	48 ¾	7	Big Truck	Javier Castellano	Barclay Tagg	Eric Fein
12	22 ¾	8	Visionaire	Jose Lezcano	Michael Matz	Team Valor & Vision Racing LLC
8	15	9	Pyro	Shaun Bridgmohan	Steve Asmussen	Winchell Thoroughbreds LLC
6	14 ¼	10	Colonel John	Corey Nakatani	Eoin G. Harty	WinStar Farm LLC
14	24 ½	11	Z Humor	Rene Douglas	William I. Mott	Zayat Stables, LLC
11	21	12	Smooth Air	Manoel Cruz	Bennie Stutts Jr.	Mount Joy Stables, Inc.
16	32	13	Bob Black Jack	Richard Migliore	James Kasparoff	Jeff Harmon & Tim Kasparoff
20	59 ¼	14	Monba	Ramon Dominguez	Todd Pletcher	Starlight, Lucarelli & Saylor
19	50 ¾	15	Adriano	Edgar Prado	Graham Motion	Courtlandt Farms
3	08 ¼	16	Denis of Cork	Calvin Borel	David Carroll	Mr. & Mrs. William K. Warren Jr.
9	15 ¾	17	Cowboy Cal	John Velazquez	Todd Pletcher	Stonerside Stable
5	11 ¾	18	Recapturetheglory	E. T. Baird	Louie J. Roussel III	Louie J. Roussel III & Ronald Lamarque
17	36 ¾	19	Gayego	Mike Smith	Paulo Lobo	Cubanacan Stables
1	- 2:01.82	20	Big Brown	Kent Desormeaux	Richard E. Dutrow, Jr.	IEAH Stables & Paul Pompa Jr.
