Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	18-12	Diego Gonzalez	Decision (unanimous)	Golden Ring - Wallberg vs Prazak	3	5:00	Stockholm , Sweden
Loss	17-12	Marcus Davis	Decision (unanimous)	Superior Challenge 8	3	5:00	Malmö , Sweden
Loss	17-11	Cathal Pendred	Decision (unanimous)	CWFC 47	3	5:00	Dublin , Ireland
Win	17-10	Edgar Dayan	TKO (punches)	MMA Against Dengue 2	1	1:19	Rio de Janeiro , Brazil
Loss	16-10	Flavio Alvaro	Decision (split)	MMA Against Dengue	3	5:00	Rio de Janeiro , Brazil
y Loss	16-9	Daniel Acácio	DQ (overturned)	Superior Challenge 6	3	5:00	Stockholm , Sweden
y Loss	16-8	Tommy Depret	Submission (guillotine choke)	United Glory 12	1	0:36	Amsterdam , Netherlands
y Win	16-7	Musa Khamanaev	TKO (punches)	M-1 Selection 2010 - Western Europe Round 3	2	1:57	Helsinki , Finland
y Win	15-7	Ville Räsänen	TKO (punches)	Helsinki Fight Night	1	3:06	Helsinki , Finland
y Win	14-7	Ufuk Isgusarer	Decision (unanimous)	Upcoming Glory 5	5	5:00	Deventer , Netherlands
y Loss	13-7	Mark Bocek	Submission (rear naked choke)	UFC 97	1	4:57	Montreal, Quebec , Canada
y Win	13-6	Jess Liaudin	Decision (unanimous)	UFC 89	3	5:00	Birmingham , England
y Loss	12-6	Diego Sanchez	Submission (strikes)	UFC 82	1	4:43	Columbus, Ohio , United States
Win	12-5	Nikola Matic	TKO	LOTR - Schilt vs. Guelmino	1	N/A	Belgrade , Serbia
y Win	11-5	Lubormir Roumenov	Decision (unanimous)	FF 9 - FinnFight 9	2	N/A	Turku , Finland
x Loss	10-5	Riggs Mitsuhiro Ishida	Decision (unanimous)	PRIDE Bushido 13	2	5:00	Yokohama, Kanagawa , Japan
x Loss	10-4	Phil Norman	Decision (unanimous)	Cage Rage 17	3	5:00	London , England
x Win	10-3	Steve Dawson	KO	CWFC - Strike Force 5	1	0:50	Coventry , England
x Win	9-3	Josenildo Ramarho	Submission (rear naked choke)	CWFC - Strike Force 3	1	4:52	Coventry , England
x Loss	8-3	Shiko Yamashita	Decision (majority)	Shooto - 4/23 in Hakata Star Lanes	3	5:00	Hakata, Fukuoka , Japan
x Win	8-2	Patrick Vallee	Submission (armbar)	Shooto Sweden - Second Impact	1	3:30	Stockholm , Sweden
x Win	7-2	Tom Haddock	KO	FN 2 - Fight Night 2	1	1:42	Belfast , Northern Ireland
x Win	6-2	Valdas Pocevičius	Decision	Shooto Sweden - Initial Collision	3	5:00	Stockholm , Sweden
x Loss	5-2	Ryuta Sakurai	Decision (unanimous)	Shooto - 7/16 in Korakuen Hall	3	5:00	Tokyo , Japan
x Win	5-1	Sigitas Antanavicius	TKO (strikes)	Shooto Finland - Capital Punishment 2	1	1:57	Helsinki , Finland
x Win	4-1	Charles McCarthy	Submission (strikes)	AFC 7 - Absolute Fighting Championships 7	1	3:33	Ft. Lauderdale, Florida , United States
x Win	3-1	Kimmo Nurkse	Submission	FF 7 - FinnFight 7	1	1:58	Turku , Finland
x Win	2-1	Joni Kyllonen	Decision (unanimous)	Shooto Finland - Capital Punishment	2	5:00	Helsinki , Finland
x Win	1-1	Kai Rintakorpi	Submission (punches)	Shooto Finland - Cold War	1	2:34	Turku , Finland
x Loss	0-1	Arben Lafti	Decision	FF 5 - FinnFight 5	2	5:00	Turku , Finland
