Date	Opponent	Venue	Result	Attendance
13 August 1988	St. Mirren	A	1–0	5,832
20 August 1988	Celtic	H	1–0	18,769
27 August 1988	Aberdeen	H	2–2	13,128
3 September 1988	Dundee	A	3–0	14,927
17 September 1988	Hibernian	H	1–1	11,017
24 September 1988	Motherwell	A	2–1	3,559
27 September 1988	Rangers	H	0–1	20,071
1 October 1988	Hearts	H	0–0	10,838
8 October 1988	Hamilton	A	4–0	3,538
12 October 1988	Celtic	A	0–1	36,870
22 October 1988	St. Mirren	H	0–1	7,618
29 October 1988	Motherwell	H	1–1	6,266
2 November 1988	Hibernian	A	1–1	10,000
5 November 1988	Dundee	H	2–0	14,882
12 November 1988	Aberdeen	A	1–1	15,000
19 November 1988	Hearts	A	0–0	10,121
26 November 1988	Hamilton	H	1–0	6,357
3 December 1988	Rangers	A	1–0	39,200
10 December 1988	Hibernian	H	4–1	9,963
17 December 1988	Celtic	H	2–0	18,745
31 December 1988	St. Mirren	A	1–0	7,762
3 January 1989	Aberdeen	H	1–1	17,952
7 January 1989	Dundee	A	1–0	16,332
14 January 1989	Hamilton	A	5–0	4,000
21 January 1989	Hearts	H	0–0	13,674
11 February 1989	Rangers	H	1–1	20,013
11 March 1989	St. Mirren	H	1–4	8,320
14 March 1989	Motherwell	A	2–1	3,545
25 March 1989	Celtic	A	0–1	36,870
1 April 1989	Aberdeen	A	0–1	16,700
8 April 1989	Dundee	H	2–1	11,910
22 April 1989	Motherwell	H	1–1	6,301
29 April 1989	Hibernian	A	2–1	7,700
2 May 1989	Rangers	A	0–2	39,058
6 May 1989	Hearts	A	0–0	8,613
13 May 1989	Hamilton	H	0–1	11,503
