Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 8, 1985	Green Bay Packers	W 26–20	Sullivan Stadium	1–0	49488
2	September 15, 1985	at Chicago Bears	L 20–7	Soldier Field	1–1	60533
3	September 22, 1985	at Buffalo Bills	W 17–14	Rich Stadium	2–1	40334
4	September 29, 1985	Los Angeles Raiders	L 35–20	Sullivan Stadium	2–2	60686
5	October 6, 1985	at Cleveland Browns	L 24–20	Cleveland Municipal Stadium	2–3	62139
6	October 13, 1985	Buffalo Bills	W 28–6	Sullivan Stadium	3–3	40462
7	October 20, 1985	New York Jets	W 20–13	Sullivan Stadium	4–3	58163
8	October 27, 1985	at Tampa Bay Buccaneers	W 32–14	Tampa Stadium	5–3	34661
9	November 3, 1985	Miami Dolphins	W 17–13	Sullivan Stadium	6–3	58811
10	November 10, 1985	Indianapolis Colts	W 34–15	Sullivan Stadium	7–3	54176
11	November 17, 1985	at Seattle Seahawks	W 20–13	The Kingdome	8–3	60345
12	November 24, 1985	at New York Jets	L 16–13	The Meadowlands	8–4	74100
13	December 1, 1985	at Indianapolis Colts	W 38–31	Hoosier Dome	9–4	56740
14	December 8, 1985	Detroit Lions	W 23–6	Sullivan Stadium	10–4	59078
15	December 16, 1985	at Miami Dolphins	L 30–27	Miami Orange Bowl	10–5	69489
