Date	Venue	Opponents	Score	Comp
2004-02-13	Birkerød	FC København	1-4	Friendly
2004-02-25	Skytteholms IP	Västerås SK	1-3	Friendly
2004-02-28	Skytteholms IP	FC Café Opera	0-0	Friendly
2004-03-05	NRGi Park	OB	1-3	Friendly
2004-03-07	NRGi Park	AGF	0-2	Friendly
2004-03-13	ABRA-hallen	Rosenborg	0-5	Friendly
2004-03-17	Portugal	Portimonense	2-1	Friendly
2004-03-24	Alcochete	Sporting CP	2-1	Friendly
2004-03-27	Graningevallen	FC Flora	5-0	Friendly
2004-03-31	Graningevallen	Assyriska	0-2	Friendly
2004-06-16	Gammliavallen	Umeå FC	2-0	Friendly
2004-06-23	Domnarvsvallen	IK Brage	6-0	Friendly
2004-06-29	Norrtälje	AaB Aalborg	5-4	Friendly
2004-11-24	Graningevallen	IK Frej	2-0	Friendly
