Name	Championship	League Cup	FA Cup	Total
Clinton Morrison Category:Articles with hCards	10	2	0	12
Elliott Ward Category:Articles with hCards	5	0	1	6
Daniel Fox Category:Articles with hCards	5	0	0	5
Robbie Simpson Category:Articles with hCards	3	2	0	5
Leon McKenzie Category:Articles with hCards	3	0	1	4
Leon Best Category:Articles with hCards	2	0	2	4
Scott Dann Category:Articles with hCards	3	1	0	4
Freddy Eastwood Category:Articles with hCards	4	0	0	4
Jay Tabb Category:Articles with hCards	3	0	0	3
Michael Doyle Category:Articles with hCards	2	0	1	3
Michael Mifsud Category:Articles with hCards	2	0	0	2
Aron Gunnarsson Category:Articles with hCards	1	0	1	2
Julian Gray Category:Articles with hCards	1	0	0	1
Guillaume Beuzelin Category:Articles with hCards	1	0	0	1
Jordan Henderson Category:Articles with hCards	1	0	0	1
David Bell Category:Articles with hCards	1	0	0	1
