Date	Visitor	Score	Home	Record
November 1	Hartford	5 – 8	Detroit	6–6–1
November 2	Detroit	1 – 4	Boston	6–7–1
November 5	Minnesota	3 – 2	Detroit	6–8–1
November 7	St. Louis	3 – 10	Detroit	7–8–1
November 8	Detroit	5 – 4	Washington	8–8–1
November 10	St. Louis	4 – 6	Detroit	9–8–1
November 12	Detroit	5 – 4	Calgary	10–8–1
November 14	Detroit	3 – 3	San Jose	10–8–2
November 16	Detroit	5 – 3	Los Angeles	11–8–2
November 19	Chicago	1 – 4	Detroit	12–8–2
November 22	Minnesota	3 – 4	Detroit	13–8–2
November 23	Detroit	2 – 2	Minnesota	13–8–3
November 25	Washington	4 – 5	Detroit	14–8–3
November 30	Detroit	3 – 7	St. Louis	14–9–3
