Week	Date	Opponent	Result	Venue	Attendance
1	September 29, 1957	Chicago Bears	W 21-17	City Stadium	32,132
2	October 6, 1957	Detroit Lions	L 24-14	City Stadium	32,120
3	October 13, 1957	Baltimore Colts	L 45-17	Milwaukee County Stadium	26,322
4	October 20, 1957	San Francisco 49ers	L 24-14	Milwaukee County Stadium	18,919
5	October 27, 1957	at Baltimore Colts	W 24-21	Memorial Stadium	48,510
6	November 3, 1957	New York Giants	L 31-17	City Stadium	32,070
7	November 10, 1957	at Chicago Bears	L 21-14	Wrigley Field	47,153
8	November 17, 1957	Los Angeles Rams	L 31-27	Milwaukee County Stadium	19,540
9	November 24, 1957	at Pittsburgh Steelers	W 27-10	Forbes Field	29,701
10	November 28, 1957	at Detroit Lions	L 18-6	Briggs Stadium	54,301
11	December 8, 1957	at Los Angeles Rams	L 42-17	Los Angeles Memorial Coliseum	70,572
12	December 15, 1957	at San Francisco 49ers	L 27-20	Kezar Stadium	59,100
