Pick	Pos.	Nationality	Team	Previous team	NBA years [a ]	Career with the franchise [b ]
1	C	United States	Miami Heat	Dallas Mavericks	1	— [c ]
2	G	United States	Charlotte Hornets	Cleveland Cavaliers	2	1988 – 1998
3	F	United States	Miami Heat	Los Angeles Lakers	2	1988 – 1991
4	F/C	United States	Charlotte Hornets	Golden State Warriors	1	1988 – 1991
5	F/C	United States	Miami Heat	Boston Celtics	5	— [c ]
6	G	United States	Charlotte Hornets	Washington Bullets	1	1988 – 1997
7	F/C	United States	Miami Heat	Atlanta Hawks	6	1988–1989
8	F/C	United States	Charlotte Hornets	Chicago Bulls	2	— [c ]
9	G	United States	Miami Heat	San Antonio Spurs	5	1988 – 1992
10	G	United States	Charlotte Hornets	Utah Jazz	10	1988–1989
11	G	United States	Miami Heat	Seattle SuperSonics	4	— [c ]
12	G	United States	Charlotte Hornets	Portland Trail Blazers	4	1988 – 1989
13	C	West Germany [e ]	Miami Heat	Philadelphia 76ers	0 [d ]	— [c ]
14	F	United States	Charlotte Hornets	Denver Nuggets	6	— [c ]
15	G	United States	Miami Heat	Los Angeles Clippers	7	— [c ]
16	G/F	United States	Charlotte Hornets	Phoenix Suns	4	— [c ]
17	G	United States	Miami Heat	New Jersey Nets	2	1988–1989
18	G	United States	Charlotte Hornets	Detroit Pistons	1	1988–1989 ; 1990
19	G	United States	Miami Heat	Houston Rockets	2	— [c ]
20	G	United States	Charlotte Hornets	Indiana Pacers	1	— [c ]
21	G	United States	Miami Heat	Sacramento Kings	2	— [c ]
22	G	United States	Charlotte Hornets	New York Knicks	2	— [c ]
23	F	United States	Miami Heat	Milwaukee Bucks	1	— [c ]
