Rank	Stadium	Capacity	City	Country	Tournament hosted
1	Arthur Ashe Stadium	23,200	New York City	United States	US Open
2	Sinan Erdem Dome	16,410	Istanbul	Turkey	WTA Championships
3	Indian Wells Tennis Garden	16,100	Indian Wells, California	United States	BNP Paribas Open
4=	Cullman-Heyman Tennis Center	15,000	New Haven, Connecticut	United States	New Haven Open at Yale
4=	National Tennis Stadium	15,000	Beijing	China	China Open ; 2008 Olympics
4=	Wimbledon Centre Court [a ]	15,000	London	United Kingdom	The Championships, Wimbledon
7	Stade Roland Garros - Court Philippe Chatrier	14,911	Paris	France	French Open
8	Rod Laver Arena	14,820	Melbourne	Australia	Australian Open
9	Armeets Arena	13,545	Sofia	Bulgaria	WTA Tournament of Champions (2012–13)
10	Tennis Center at Crandon Park	13,300	Key Biscayne, Florida	United States	Sony Ericsson Open
10=	Rexall Centre	12,500	Toronto	Canada	Rogers Cup
10=	Caja Mágica, Estadio Manolo Santana	12,500	Madrid	Spain	Madrid Masters
10=	Foro Italico, Campo Centrale	12,500	Rome	Italy	Internazionali d'Italia
13	Petersburg Sports and Concert Complex	12,000	St. Petersburg	Russia	St. Petersburg Open
14	Uniprix Stadium	11,700	Montreal	Canada	Rogers Cup
15	Wimbledon No. 1 Court	11,429	London	United Kingdom	The Championships, Wimbledon
16=	Olympic Stadium	11,400	Moscow	Russia	Kremlin Cup
16=	Lindner Family Tennis Center	11,400	Mason, Ohio	United States	W&SFG Masters
18=	Hisense Arena	10,500	Melbourne	Australia	Australian Open
18=	Ken Rosewall Arena	10,500	Sydney	Australia	Medibank International ; 2000 Olympics
20=	Family Circle Tennis Center	10,200	Charleston, South Carolina	United States	Family Circle Cup
20=	Louis Armstrong Stadium	10,200	New York City	United States	US Open
22	Stade Roland Garros - Court Suzanne Lenglen	10,076	Paris	France	French Open
23=	Seoul Olympic Park Tennis Center	10,000	Seoul	South Korea	1988 Olympics ; Hansol Korea Open
23=	Lotus Court	10,000	Beijing	China	China Open ; 2008 Olympics
23=	Estoril Court Central	10,000	Oeiras	Portugal	Estoril Open
23=	Tokyo Metropolitan Gymnasium	10,000	Tokyo	Japan	Toray Pan Pacific Open
27	Ariake Coliseum	9,000	Tokyo	Japan	Japan Open Tennis Championships
28	Devonshire Park Lawn Tennis Club	8,000	Eastbourne	United Kingdom	Eastbourne International
29	Steffi-Graf-Stadion	7,000	Berlin	Germany	Qatar Telecom German Open
30	Khalifa International Tennis and Squash Complex	6,911	Doha	Qatar	Qatar Ladies Open
31	Porsche Arena	6,100	Stuttgart	Germany	Porsche Tennis Grand Prix
32 =	Fairmont Acapulco Princess	6,000	Acapulco	Mexico	Abierto Mexicano Telcel
32 =	Margaret Court Arena	6,000	Melbourne	Australia	Australian Open
32=	Roy Emerson Arena	6,000	Gstaad	Switzerland	Allianz Suisse Open Gstaad
32=	Grandstand Stadium	6,000	New York City	United States	US Open
36	Intersport Arena	5,699	Linz	Austria	Generali Ladies Linz
37	Pat Rafter Arena	5,500	Brisbane	Australia	Brisbane International
38	Racquet Club of Memphis	5,200	Memphis, Tennessee	United States	Cellular South Cup
39=	Guangzhou International Tennis Center	5,000	Guangzhou	China	Guangzhou International Women's Open
39=	Dubai Tennis Stadium	5,000	Dubai	United Arab Emirates	Dubai Tennis Championships
39=	Kungliga Tennishallen	5,000	Stockholm	Sweden	Stockholm Open
39=	Båstad Tennis Stadium	5,000	Båstad	Sweden	Swedish Open
39=	Sportlokaal Bokkeduinen	5,000	Amersfoort	Netherlands	Dutch Open Amersfoort
43=	Moon Court	4,000	Beijing	China	China Open
43=	Wimbledon No. 2 Court	4,000	London	United Kingdom	The Championships, Wimbledon
45	Roland Garros No. 1 Court	3,805	Paris	France	French Open
46	Darling Tennis Center	3,500	Las Vegas, Nevada	United States	Tennis Channel Open
47	ASB Centre	3,200	Auckland	New Zealand	ASB Classic
48=	Baku Tennis Academy Central Court	3,000	Baku	Azerbaijan	Baku Cup
48=	Australia Show Court 2	3,000	Melbourne	Australia	Australian Open
48=	Australia Show Court 3	3,000	Melbourne	Australia	Australian Open
48=	Római Teniszakadémia	3,000	Budapest	Hungary	Budapest Grand Prix
48=	Court 17	3,000	New York	United States	US Open
53	Hobart International Tennis Centre	2,500	Hobart	Australia	Hobart International
54=	National Tennis Center Court 1	2,000	Beijing	China	China Open
54=	Wimbledon No. 3 Court	2,000	London	United Kingdom	The Championships, Wimbledon
