Series #	Production Code	Title	Directed by	Written by	United States Original Airdate	Canada Original Airdate
1	101	"The Yipper Caper"	Richard Weston	Paul Germain & Joe Ansolabehere	October 10, 2010	Unknown
2	102	"Nightmare on Pound Street"	Richard Weston	Bart Jennett & Joe Ansolabehere	October 29, 2010	February 10, 2011
3	103	"Rebound"	Richard Weston	Mark Drop & Bart Jennett	November 5, 2010	January 27, 2011
4	104	"The General"	Richard Weston	Rachel Lipman	November 19, 2010	February 17, 2011
5	105	"The Prince and the Pupper"	Richard Weston	Bart Jennett	December 3, 2010	February 8, 2011
6	106	"Catcalls"	Richard Weston	Eric Trueheart	December 17, 2010	January 20, 2011
7	107	"King of the Heap"	Richard Weston	Rich Fogel	December 24, 2010	Unknown
8	108	"My Fair Rebound"	Greg Sullivan	Rachel Lipman	August 13, 2011	Unknown
9	109	"Quintuplets"	Jos Humphrey	Joe Ansolabehere	August 13, 2011	February 1, 2011
10	110	"Dog on a Wire"	Greg Sullivan	Eric Trueheart	August 20, 2011	February 3, 2011
11	111	"Homeward Pound"	Jos Humphrey	Billiam Coronel	August 27, 2011	Unknown
12	112	"Rebel Without a Collar"	Greg Sullivan	Rachel Lipman	September 10, 2011	Unknown
13	113	"Taboo"	Jos Humphrey	Julie Selbo	October 1, 2011	Unknown
14	114	"Toyoshiko! Bark Friend Machine"	Greg Sullivan	Mark Drop	October 8, 2011	Unknown
15	115	"Zoltron"	Jos Humphrey	Silvia Olivas	October 15, 2011	Unknown
16	116	"The Really Weird Dog"	Greg Sullivan	Steven Tsapelas	October 22, 2011	Unknown
17	117	"Bone Voyage"	Jos Humphrey	Tony Infante	November 12, 2011	Unknown
18	118	"Snow Problem"	Greg Sullivan	Rich Fogel	November 19, 2011	Unknown
19	119	"The K9 Kid"	Jos Humphrey	Mike Ferris	November 26, 2011	Unknown
20	120	"The Call of the Squirreldog"	Greg Sullivan	Nancy Steingard	December 3, 2011	Unknown
21	121	"I Never Barked for My Father"	Jos Humphrey	Joe Ansolabehere	December 10, 2011	Unknown
22	122	"McLeish Unleashed"	Greg Sullivan	Eric Trueheart	December 17, 2011	Unknown
23	123	"Olaf in Love"	Jos Humphrey	Peter Hannan	January 7, 2012	Unknown
24	124	"Kennel Kittens Return"	Greg Sullivan	Tony Infante	January 14, 2012	Unknown
25	125	"Mutternal Instincts"	Jos Humphrey	Janna King	January 21, 2012	Unknown
