Name	Position	Height	Weight	Year	Home Town	High School
Ron Baxter	Guard-Forward	6–4	205	Sophomore	Los Angeles, CA	Dorsey
Brent Boyd	Guard	6–3	185	Sophomore	Baton Rouge, LA	Catholic University
Tyrone Brayan	Forward	6–7	220	Junior	Placentia, CA	El Dorado
Rob Cunningham	Forward-Center	6–8	215	Freshman	Westport, CT	Staples
John Danks	Forward	6–6	190	Sophomore	Beaver Dam, KY	Ohio County
Ovie Dotson	Guard	6–5	200	Junior	San Antonio, TX	Sam Houston
Gary Goodner	Forward	6–7	220	Senior	Denton, TX	Denton
Henry Johnson	Forward	6–6	190	Freshman	Los Angeles, CA	Manual Arts
Jim Krivacs	Guard	6–1	160	Junior	Indianapolis, IN	Southport
John Moore	Guard	6–1	170	Junior	Altoona, PA	Altoona
Mike Murphy	Forward	6–8	215	Senior	Austin, TX	Crockett
Tom Nichols	Center	6–10	230	Senior	Houston, TX	Sharpstown
Dave Shepard	Guard	6–4	205	Freshman	Los Angeles, CA	Manual Arts
Keith Stephens	Forward	6–8	210	Freshman	Pasadena, CA	Pasadena
Phillip Stroud	Forward	6–7	220	Junior	Houston, TX	Wheatley
