Round	Choice	Overall	Player name	Position	College
1	25	25	John Ward	Offensive Tackle	Oklahoma State
2	25	51	Bill Cappleman	Quarterback	Florida State
3	25	77	Chuck Burgoon	Linebacker	North Park
4	25	103	Traded to the New Orleans Saints	Traded to the New Orleans Saints	Traded to the New Orleans Saints
5	25	129	Greg Jones	Running Back	UCLA
6	25	155	Traded to the Pittsburgh Steelers	Traded to the Pittsburgh Steelers	Traded to the Pittsburgh Steelers
7	25	181	Hap Farber	Linebacker	Mississippi
8	25	207	Mike Carroll	Guard	Missouri
9	25	233	George Morrow	Defensive End	Mississippi
10	25	259	Stu Voigt	Tight End	Wisconsin
11	25	285	Godfrey Zaunbrecher	Center	Louisiana State
12	25	311	James Holland	Defensive Back	Jackson State
13	25	337	Robert Pearce	Defensive Back	Stephen F. Austin
14	25	363	Tommy Spinks	Wide Receiver	Louisiana Tech
15	25	389	Bennie Francis	Defensive End	Chadron State
16	25	415	Bruce Cerone	Wide Receiver	Emporia State
