State ranked in partisan order	Percentage Democrats	Percentage Republicans	Democratic/ Republican	Democratic seat plurality
Massachusetts	100%	0%	10/0	10
Hawaii	100%	0%	2/0	2
Maine	100%	0%	2/0	2
New Hampshire	100%	0%	2/0	2
Rhode Island	100%	0%	2/0	2
North Dakota	100%	0%	1/0	1
South Dakota	100%	0%	1/0	1
Vermont	100%	0%	1/0	1
Connecticut	80%	20%	4/1	3
Oregon	80%	20%	4/1	3
New York	79%	21%	23/6	17
Maryland	75%	25%	6/2	4
Arkansas	75%	25%	3/1	2
Washington	67%	33%	6/3	3
West Virginia	67%	33%	2/1	1
California	64%	36%	34/19	15
Minnesota	63%	38%	5/3	2
Wisconsin	63%	38%	5/3	2
Iowa	60%	40%	3/2	1
Pennsylvania	58%	42%	11/8	3
Colorado	57%	43%	4/3	1
Indiana	56%	44%	5/4	1
Tennessee	56%	44%	5/4	1
New Jersey	54%	46%	7/6	1
North Carolina	54%	46%	7/6	1
United States	54%	46%	233/202	31
Illinois	53%	47%	10/9	1
Arizona	50%	50%	4/4	0
Kansas	50%	50%	2/2	0
Mississippi	50%	50%	2/2	0
Georgia	46%	54%	6/7	-1
Missouri	44%	56%	4/5	-1
Texas	41%	59%	13/19	-5
Michigan	40%	60%	6/9	-3
Ohio	39%	61%	7/11	-4
Florida	36%	64%	9/16	-7
Nevada	33%	67%	1/2	-1
New Mexico	33%	67%	1/2	-1
Utah	33%	67%	1/2	-1
Kentucky	33%	67%	2/4	-2
South Carolina	33%	67%	2/4	-2
Alabama	29%	71%	2/5	-3
Louisiana	29%	71%	2/5	-3
Virginia	27%	73%	3/8	-5
Oklahoma	20%	80%	1/4	-3
Alaska	0%	100%	0/1	-1
Delaware	0%	100%	0/1	-1
Montana	0%	100%	0/1	-1
Wyoming	0%	100%	0/1	-1
Idaho	0%	100%	0/2	-2
Nebraska	0%	100%	0/3	-3
State ranked in partisan order	Percentage Democrats	Percentage Republicans	Democratic/ Republican	Democratic seat plurality
