Date	Opponent	Score	Loss	Record
September 1	@ White Sox	5 - 1	Staley (5-2)	74-53
September 2	@ White Sox	4 - 3	Aguirre (2-3)	74-54
September 3	@ Athletics	5 - 2	Garcia (10-12)	74-55
September 3	@ Athletics	2 - 1	Burnette (3-7)	75-55
September 4	@ Athletics	5 - 2	Score (15-9)	75-56
September 7	White Sox	2 - 1	Lemon (18-12)	75-57
September 8	White Sox	4 - 2	Wynn (16-9)	75-58
September 9	White Sox	4 - 1	Donovan (10-8)	76-58
September 9	White Sox	6 - 2	Aguirre (2-4)	76-59
September 11	Orioles	3 - 1	Moore (11-7)	77-59
September 12	Orioles	2 - 1	Brown (9-5)	78-59
September 13	Orioles	4 - 1	Aguirre (2-5)	78-60
September 14	Red Sox	10 - 2	Parnell (7-5)	79-60
September 14	Red Sox	4 - 3	Mossi (6-5)	79-61
September 15	Red Sox	5 - 3	Feller (0-3)	79-62
September 16	Yankees	10 - 3	Lemon (19-13)	79-63
September 16	Yankees	4 - 3	Kucks (18-8)	80-63
September 18	Senators	1 - 0	Wiesler (3-12)	81-63
September 18	Senators	6 - 0	Stobbs (15-13)	82-63
September 19	Senators	6 - 0 (7)	Abernathy (1-1)	83-63
September 21	@ Tigers	5 - 1	Hoeft (18-13)	84-63
September 22	@ Tigers	5 - 1	Foytack (14-13)	85-63
September 23	@ Tigers	11 - 1	Lemon (20-14)	85-64
September 25	Athletics	4 - 1 (10)	Crimian (4-8)	86-64
September 26	Athletics	8 - 4	Ditmar (12-22)	87-64
September 28	Tigers	2 - 1	Hoeft (19-14)	88-64
September 29	Tigers	9 - 1	Houtteman (2-2)	88-65
September 30	Tigers	8 - 4	Feller (0-4)	88-66
