Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Ibsen	Richland	105	36.238	0.000	46.325995	-96.841226	3807739700	01036840
Idaho	Mountrail	493	33.600	1.146	48.329097	-102.369734	3806139740	01037046
Illinois	Nelson	70	35.018	1.227	47.980183	-98.466110	3806339820	01036575
Impark	Benson	29	31.682	4.318	48.142019	-99.790245	3800539860	01759243
Inkster	Grand Forks	139	35.407	0.173	48.144102	-97.719856	3803540020	01036626
Iosco	Stutsman	17	33.597	2.292	47.044255	-99.287270	3809340100	01036493
Iota Flat	Ward	39	35.381	0.724	47.884289	-101.157027	3810140140	01759682
Iowa	Benson	25	33.566	2.323	48.250829	-99.789896	3800540180	01759244
Irvine	Benson	16	35.889	0.714	48.332679	-99.255030	3800540220	01759245
Isabel	Benson	46	35.505	0.593	48.064751	-99.653077	3800540260	01759246
Island Park	Ransom	262	33.838	0.051	46.407660	-97.731546	3807340300	01036871
Isley	Ransom	44	35.882	0.225	46.333228	-97.961633	3807340340	01036864
Ivanhoe	Renville	30	35.929	0.000	48.589900	-101.777552	3807540380	01759611
