Player	Tackles	Solo	Assisted	Sack	Yards	TD's
William Cotman	26.5	24	5	0	10	0
Keith Smith	23	22	2	5	0	0
Gary Mullen	21	20	2	0	23	0
Steve Trimble	19	17	4	0	0	0
Richard Prather	16	15	2	0	0	0
Rob DeVita	12.5	9	7	6	0	0
Clyde Skipper	12	12	0	0	10	0
Chris Brewer	12	9	6	0	0	0
Kelly Kirchbaum	11	9	4	0	0	0
Chuck Harris	9	6	6	3	0	0
Patrick Cain	7	7	0	3	0	0
Richard Rodgers	6.5	5	3	0	23	0
Larry Friday	6.5	6	1	0	0	0
Jon Norris	5	4	2	2	0	0
Phil Forte	3	3	0	1	0	0
Durell Taylor	2	2	0	0	0	0
Lazlo Mike-Mayer	2	2	0	0	0	0
Marco Morales	1	1	0	0	0	0
