Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Kim Casey	Kidderminster Harriers	38	4	2	0	44
Mick Carter	Runcorn	30	2	6	3	41
Steve Butler	Maidstone United	24	5	3	2	34
Gary Abbott	Welling United	23	2	3	0	28
Chris Cook	Boston United	23	0	2	2	27
Ken McKenna	Telford United	23	1	0	0	24
Nicky Evans	Barnet	22	0	4	0	26
Chris Townsend	Cheltenham Town	22	1	0	0	23
Mike Doherty	Weymouth	16	0	1	1	18
Paul Bodin	Bath City	16	2	2	1	21
Stewart Mell	Scarborough	16	0	2	0	18
John Timmons	Altrincham	16	0	0	1	17
