Week	Date	Opponent	Result	Attendance
1	September 15, 1974	Philadelphia Eagles	W 7-3	40,322
2	September 22, 1974	at Washington Redskins	W 17-10	53,888
3	September 29, 1974	Cleveland Browns	W 29-7	43,472
4	October 6, 1974	at San Francisco 49ers	W 34-9	48,675
5	October 13, 1974	Dallas Cowboys	W 31-28	49,885
6	October 20, 1974	at Houston Oilers	W 31-27	26,371
7	October 27, 1974	Washington Redskins	W 23-20	49,410
8	November 3, 1974	at Dallas Cowboys	L 17-14	64,146
9	November 11, 1974	Minnesota Vikings	L 28-24	50,183
10	November 17, 1974	at Philadelphia Eagles	W 13-3	61,982
11	November 24, 1974	at New York Giants	W 23-21	40,615
12	December 1, 1974	Kansas City Chiefs	L 17-13	41,863
13	December 8, 1974	at New Orleans Saints	L 14-0	57,152
14	December 15, 1974	New York Giants	W 26-14	47,414
