Season	Level	Division	Administration	Position
1994	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	1st
1995	Tier 1	Veikkausliiga (Premier League)	Finnish FA (Suomen Pallolitto)	14th
1996	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	7th
1997	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	10th
1998	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	8th
1999	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	9th
2000	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	4th
2001	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	2nd
2002	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	11th
2003	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Helsinki)	3rd
2004	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Uusimaa)	1st
2005	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	10th
2006	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	14th
2007	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Uusimaa)	6th
2008	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Uusimaa)	3rd
2009	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Uusimaa)	4th
2010	Tier 4	Kolmonen (Third Division)	Helsinki & Uusimaa (SPL Helsinki)	11th
