County	Kerry #	Kerry %	Bush #	Bush %	Other #	Other %	Total #
Adams	7844	54.56%	6487	45.12%	45	0.31%	14376
Alcorn	5364	38.02%	8605	60.99%	141	1.00%	14110
Amite	2973	41.77%	4106	57.69%	38	0.53%	7117
Attala	3014	37.94%	4882	61.45%	49	0.62%	7945
Benton	2234	52.83%	1962	46.39%	33	0.78%	4229
Bolivar	8560	63.75%	4722	35.17%	145	1.08%	13427
Calhoun	2211	34.92%	4096	64.70%	24	0.38%	6331
Carroll	1897	34.01%	3652	65.48%	28	0.50%	5577
Chickasaw	3991	48.75%	4123	50.37%	72	0.88%	8186
Choctaw	1290	33.01%	2598	66.48%	20	0.51%	3908
Claiborne	4338	81.53%	941	17.68%	42	0.79%	5321
Clarke	2377	31.96%	5027	67.59%	34	0.46%	7438
Clay	4732	51.94%	4333	47.56%	46	0.50%	9111
Coahkoma	6741	64.10%	3643	34.64%	132	1.26%	10516
Copiah	4902	43.49%	6316	56.03%	54	0.48%	11272
Covington	3135	38.26%	5010	61.14%	49	0.60%	8194
DeSoto	13247	27.05%	35437	72.35%	297	0.61%	48981
Forrest	9781	37.71%	15966	61.56%	189	0.73%	25936
Franklin	1566	35.01%	2883	64.45%	24	0.54%	4473
George	1715	21.57%	6182	77.76%	53	0.67%	7950
Greene	1419	26.90%	3827	72.55%	29	0.55%	5275
Grendada	4154	41.33%	5844	58.15%	52	0.52%	10050
Hancock	5023	28.62%	12332	70.27%	195	1.11%	17550
Harrison	22555	36.49%	38781	62.74%	474	0.77%	61810
Hinds	51370	59.55%	34269	39.73%	626	0.73%	86265
Holmes	6170	75.87%	1925	23.67%	37	0.45%	8132
Hump	2975	63.96%	1626	34.96%	50	1.08%	4651
Issaquena	510	53.01%	437	45.43%	15	1.56%	962
Itawamba	2771	28.88%	6751	70.35%	74	0.77%	9596
Jackson	15046	30.45%	34035	68.88%	333	0.67%	49414
Jasper	4081	51.49%	3808	48.04%	37	0.47%	7926
JD	2955	51.30%	2667	46.30%	138	2.40%	5760
Jefferson	2798	81.34%	627	18.23%	15	0.44%	3440
Jones	7344	27.69%	19032	71.77%	142	0.54%	26518
Kemper	2454	53.48%	2107	45.91%	28	0.61%	4589
Lafayette	6218	40.41%	9004	58.51%	166	1.08%	15388
Lamar	3876	19.10%	16288	80.26%	130	0.64%	20294
Lauderdale	10026	33.92%	19395	65.62%	134	0.45%	29555
Lawrence	2355	36.11%	4119	63.16%	48	0.74%	6522
Leake	1698	39.64%	2567	59.92%	19	0.44%	4284
Lee	9895	32.97%	19878	66.24%	237	0.79%	30010
Leflore	7240	61.97%	4427	37.89%	17	0.15%	11684
Lincoln	4372	30.52%	9889	69.03%	65	0.45%	14326
Lowndes	7904	38.10%	12642	60.93%	202	0.97%	20748
Madison	12942	34.84%	24015	64.65%	191	0.51%	37148
Marion	3828	32.63%	7845	66.87%	59	0.50%	11732
Marshall	7979	58.78%	5520	40.67%	75	0.55%	13574
Monroe	6149	39.78%	9223	59.66%	87	0.56%	15459
Mont	2422	44.89%	2953	54.73%	21	0.39%	5396
Neshoba	2515	24.82%	7581	74.81%	37	0.37%	10133
Newton	2274	26.84%	6156	72.66%	42	0.50%	8472
Nox	4293	71.31%	1698	28.21%	29	0.48%	6020
Okt	4178	42.89%	5485	56.30%	79	0.81%	9742
Panola	6540	49.06%	6734	50.52%	56	0.42%	13330
PR	4392	22.97%	14612	76.42%	117	0.61%	19121
Perry	1259	25.13%	3729	74.43%	22	0.44%	5010
Pike	7578	46.73%	8547	52.71%	90	0.56%	16215
Pont	2591	23.42%	8375	75.72%	95	0.86%	11061
Prent	2119	32.04%	4454	67.35%	40	0.60%	6613
Quitman	1925	59.84%	1270	39.48%	22	0.68%	3217
Rankin	10738	20.12%	41971	78.65%	656	1.23%	53365
Scott	3780	37.15%	6364	62.55%	31	0.30%	10175
Sharkey	1553	50.41%	1115	36.19%	413	13.40%	3081
Simpson	3262	32.37%	6810	67.58%	5	0.05%	10077
Smith	1493	21.01%	5566	78.33%	47	0.66%	7106
Stone	1502	26.68%	4072	72.33%	56	0.99%	5630
Sun	6057	62.68%	3492	36.14%	114	1.18%	9663
Tall	3377	54.81%	2725	44.23%	59	0.96%	6161
Tate	4279	38.90%	6663	60.57%	59	0.54%	11001
Tippah	2983	32.73%	6048	66.37%	82	0.90%	9113
Tish	2775	33.99%	5288	64.76%	102	1.25%	8165
Tunica	1934	68.70%	845	30.02%	36	1.28%	2815
Union	2710	26.57%	7422	72.77%	67	0.66%	10199
Walthall	2550	39.48%	3873	59.96%	36	0.56%	6459
Warren	8244	40.98%	11773	58.52%	100	0.50%	20117
Washington	10562	59.09%	7031	39.33%	282	1.58%	17875
Wayne	3193	36.30%	5562	63.24%	40	0.45%	8795
Webster	1318	26.35%	3668	73.33%	16	0.32%	5002
Wilk	2794	63.67%	1563	35.62%	31	0.71%	4388
Winston	2859	53.17%	2493	46.36%	25	0.46%	5377
Yalo	2656	44.48%	3278	54.90%	37	0.62%	5971
