Full name	Alias	Age¹	From	Occupation²	Specialty	Position/ Eliminated
Ng Kar Fei	Black	25	Kuala Lumpur	Freelance dancer	Hip-hop	2008 – 08-01
Sarah Diana Michele Durai	Sarah	29	Kota Kinabalu , Sabah	Sales and marketing executive	Freestyle	2008 – 07-03
Mohd Hanafi bin Rosli	Napi	20	Kuala Terengganu , Terengganu	Student, performer	–	2008 – 06-19
Wong Sook Ken	Jojo	27	Kuala Lumpur	Dance instructor	Contemporary	2008 – 07-24
Lim Chee Wei	Chee Wei	22	Kuala Lumpur	Student, cheerleader, choreographer	Contemporary Lyrical Jazz	2008 – 06-26
Zefane Fara binti Zakaria	Zef	24	Kuala Lumpur	Boutique owner	Ballet	2008 – 06-19
Ray Redzwan bin Awang	Ray	28	Kota Kinabalu , Sabah	Cultural arts dancer at Istana Budaya	Traditional	2008–07-17
Yap Hwee Leng	Zen	18	Melaka	Hip-hop and yoga instructor	Hip-hop	2008 – 06-12
Muhammad Fairul Azreen bin Mohd Zahid	Fai	20	Kota Tinggi , Johor	Student	Contemporary Traditional	2008 – 06-12
Chan Wei Yee, Vivian	Viv	25	Petaling Jaya , Selangor	Rhythmic gymnastics and dance instructor	Lyrical Jazz	2008 – 06-05
Hafizul Mahmud	Sly	21	Kota Kinabalu , Sabah	Plantation company administrator	Hip-hop	2008 – 07-24
Ho Cheng Sim	Sim	27	Petaling Jaya , Selangor	Full-time professional dancer	Contemporary	2008 – 08-01
Mohd Zulfaqar bin Awaluddin	Belalang	28	Johor Bahru , Johor	Choreographer, dancer	Traditional	2008 – 07-03
Yong Li Shi, Cecilia	CC	21	Kuala Lumpur	Student	Latin Ballet	Winner
Liew Jin Pin	Raymond	21	Johor Bahru , Johor	Student	Contemporary	2008 – 07-10
Farah Hanan binti Mohd Nordin	Farah	26	Kuala Lumpur	Medic	Ballet	2008–07-17
Ong Tze Hong	Hong	27	Kuala Lumpur	Dancer, dance instructor	Commercial	2008 – 08-01
Yee Mei Er, Samantha	Sam	28	Puchong , Selangor	Accounting executive, dancer	Jazz	2008 – 06-26
Yong Chun Haou	Billy	22	Kuala Lumpur	Student, choreographer	Latin	2008 – 06-05
Lim Pei Ying, Jorida	J Da	19	Ipoh , Perak	Student, freelance dancer and barista	Lyrical Ballet	2008 – 07-10
