Week	Date	Opponent	Result	Attendance
1	September 19, 1965	Los Angeles Rams	W 20-0	46,941
2	September 26, 1965	at Minnesota Vikings	W 31-29	46,826
3	October 3, 1965	Washington Redskins	W 14-10	52,627
4	October 10, 1965	at Baltimore Colts	L 31-7	60,238
5	October 17, 1965	Green Bay Packers	L 31-21	56,712
6	October 24, 1965	at Chicago Bears	L 38-10	45,658
7	October 31, 1965	at Los Angeles Rams	W 31-7	35,137
8	November 7, 1965	at Green Bay Packers	W 12-7	50,852
9	November 14, 1965	San Francisco 49ers	L 27-21	54,534
10	November 21, 1965	Chicago Bears	L 17-10	51,499
11	November 25, 1965	Baltimore Colts	T 24-24	55,036
12	December 5, 1965	at San Francisco 49ers	L 17-14	38,463
13	December 12, 1965	Minnesota Vikings	L 29-7	45,420
14	December 19, 1965	at Philadelphia Eagles	W 35-28	56,718
