Game	Date	Opponent	Score	Location/Attendance	Record
14	Dec 1	at Seattle SuperSonics	96-90 W	KeyArena at Seattle Center/17,072	12-2
Game	Date	Opponent	Score	Location/Attendance	Record
15	Dec 2	vs Charlotte Hornets	107-97 W	Delta Center/19,410	13-2
16	Dec 4	vs Los Angeles Lakers	101-75 W	Delta Center/19,911	14-2
17	Dec 6	vs Minnesota Timberwolves	106-95 W	Delta Center/19,911	15-2
18	Dec 7	at Denver Nuggets	104-91 W	McNichols Sports Arena/12,837	16-2
19	Dec 10	vs Indiana Pacers	110-86 W	Delta Center/19,911	17-2
20	Dec 12	vs Phoenix Suns	87-95 L	Delta Center/19,911	17-3
21	Dec 14	vs Orlando Magic	101-68 W	Delta Center/19,911	18-3
22	Dec 17	at New York Knicks	94-99 L	Madison Square Garden/19,763	18-4
23	Dec 19	at Miami Heat	94-87 W OT	Miami Arena/14,919	19-4
24	Dec 20	at Orlando Magic	98-93 W	Orlando Arena/17,248	20-4
25	Dec 22	at Cleveland Cavaliers	94-100 L	Gund Arena/17,205	20-5
26	Dec 23	at Minnesota Timberwolves	98-107 L	Target Center/14,434	20-6
27	Dec 26	vs Portland Trail Blazers	99-94 W	Delta Center/19,911	21-6
28	Dec 28	vs Philadelphia 76ers	110-84 W	Delta Center/19,911	22-6
29	Dec 30	at Los Angeles Clippers	101-115 L	Los Angeles Memorial Sports Arena	22-7
