Player	Height	Position	Year born	Current Club
Marco Belinelli	1.96	Guard	1986	Golden State Warriors
Gianluca Basile	1.95	Guard	1975	AXA FC Barcelona
Stefano Mancinelli	2.03	Forward	1983	Climamio Bologna
Matteo Soragna	1.97	Guard	1975	Benetton Treviso
Denis Marconato	2.12	Center	1975	AXA FC Barcelona
Marco Mordente	1.90	Guard	1979	Benetton Treviso
Andrea Bargnani	2.12	Forward	1985	Toronto Raptors
Andrea Crosariol	2.13	Center	1984	VidiVici Bologna
Massimo Bulleri	1.87	Guard	1977	Armani Jeans Milano
Fabio Di Bella	1.86	Guard	1978	VidiVici Bologna
Luigi Datome	2.02	Forward	1987	Legea Scafati
Angelo Gigli	2.10	Center	1983	Benetton Treviso
