Year	Game	Genre	Platform(s)	Developer(s)
2000	The Sims	Life simulation game	Windows , Mac OS	Maxis
2001	Grand Theft Auto III	Open World Action	PlayStation 2 , Windows , Xbox	Rockstar North
2002	Metroid Prime	( First-Person ) Action-Adventure	GameCube	Retro Studios , Nintendo
2003	Star Wars: Knights of the Old Republic	RPG	Xbox , Windows	BioWare
2004	Half-Life 2	( First-Person ) Shooter	Windows , Xbox 360 , Xbox , PlayStation 3	Valve Corporation
2005	Shadow of the Colossus	Action-Adventure	PlayStation 2	Team Ico
2006	Gears of War	Tactical Shooter	Xbox 360 , Windows	Epic Games
2007	Portal	( First-Person ) Puzzle - Platformer	Windows , Mac OS X , Xbox 360 , PlayStation 3	Valve Corporation
2008	Fallout 3	RPG	PlayStation 3 , PC , Xbox 360	Bethesda Game Studios
2009	Uncharted 2: Among Thieves	Action-Adventure : ( Third-Person ) Shooter	PlayStation 3	Naughty Dog
2010	Red Dead Redemption	Action-Adventure	PlayStation 3 , Xbox 360	Rockstar Games
2011	The Elder Scrolls V: Skyrim	RPG	PlayStation 3 , Xbox 360 , PC	Bethesda Game Studios
2012	Journey	Adventure Game	PlayStation 3	thatgamecompany
