Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Betis	34	42	18	6	10	66	42	+24
2	CD Tenerife	34	38	15	8	11	61	40	+21
3	Real Murcia	34	38	15	8	11	54	42	+12
4	Levante UD	34	37	15	7	12	65	48	+17
5	Hércules CF	34	36	15	6	13	57	54	+3
6	CD San Fernando	34	36	14	8	12	51	45	+6
7	AD Plus Ultra	34	36	13	10	11	55	53	+2
8	CD Eldense	34	35	14	7	13	57	68	-11
9	CF Extremadura	34	35	15	5	14	51	63	-12
10	Cádiz CF	34	35	14	7	13	46	61	-15
11	Córdoba CF	34	35	14	7	13	57	60	-3
12	CD Badajoz	34	35	14	7	13	57	52	+5
13	Atlético Ceuta	34	33	13	7	14	43	48	-5
14	CD Málaga	34	32	13	6	15	58	54	+4
15	Recreativo de Huelva	34	32	13	6	15	49	53	-4
16	Jerez CD	34	32	12	8	14	50	46	+4
17	Alicante CF	34	23	9	5	20	42	64	-22
18	CD Alcoyano	34	22	9	4	21	54	80	-26
