Debut year	Player	Date of birth	Games	Goals	Years at club
1970	Kevin Higgins	20 February 1951	128	35	1970, 1972–1978
1970	Stewart Palfreyman	30 December 1948	37	3	1970–1971
1970	Jim Wright	26 September 1949	20	5	1970–1972
1970	Tim Colley	8 August 1950	6	1	1970–1971
1970	Jeff Kline	13 May 1950	22	3	1970–1973
1970	Phil Evans	23 January 1950	27	8	1970–1971
1970	Robert Adams	6 June 1949	20	5	1970–1971
1970	Bruce Nankervis	14 August 1950	253	80	1970–1983
1970	Peter Linke	13 March 1949	10	0	1970–1971
1970	Doug Stephenson	8 May 1951	10	7	1970–1972
1970	Shane McCarthy	22 April 1952	3	0	1970–1971
1971	David E. Clarke	31 December 1952	202	298	1971–1974, 1976–1981
1971	Peter N. Stephens	21 June 1950	35	28	1971–1973
1971	Peter Brown	15 June 1949	6	3	1971
1971	Rod Stokes	14 July 1952	10	1	1971–1972
1971	Michael Woolnough	24 September 1952	117	42	1971–1978
1971	Warwick Yates	24 April 1951	21	0	1971–1973
1971	Brian Martella	28 November 1951	1	0	1971
1971	Tim Evans	13 August 1953	59	26	1971–1974
1971	John Friend	24 February 1953	1	0	1971
1971	Rod Blake	15 June 1952	176	113	1971–1983
1971	Ray Haynes	24 November 1947	2	0	1971
1971	Graeme Linke	17 November 1951	38	0	1971–1974
1972	David Barkley	14 June 1950	55	77	1972–1976
1972	Terry Mayne	24 December 1950	19	20	1972–1973
1972	Greg Wells	8 December 1952	4	1	1972–1973
1972	Garry Davidson	2 October 1954	30	16	1972–1974
1972	Robert Whatman	29 January 1951	34	17	1972–1974
1972	Greg Lindquist	31 January 1954	8	0	1972–1973
1972	Ivan Russell	13 October 1952	13	2	1972–1973
1972	Paul Sarah	19 December 1953	128	204	1972–1980
1972	Chris Lynch	23 September 1953	5	2	1972, 1974
1973	Larry Donohue	22 April 1955	105	339	1973–1980
1973	Jack Hawkins	21 May 1954	182	20	1973–1981
1973	Harvey Davis	3 April 1953	44	5	1973–1977
1973	Michael Hawkins	18 September 1951	2	0	1973
1973	Ian Lewtas	25 February 1954	15	4	1973–1976
1974	Mark Browne	19 November 1954	87	60	1974–1978
1974	Ricky Browne	26 August 1950	25	14	1974–1975
1974	Leigh Crawford	19 April 1946	31	6	1974–1975
1974	Keith J. Miller	14 February 1953	2	0	1974
1974	John Preen	15 March 1955	32	23	1974–1977
1974	Peter Doyle	27 May 1955	38	15	1974–1976, 1978
1974	Barry Eddy	1 September 1952	14	0	1974–1975
1974	Rex Deeath	3 September 1949	13	2	1974–1975
1974	Kevin Sheehan	8 January 1953	102	112	1974–1982
1974	Michael Turner	12 June 1954	245	285	1974–1984, 1986–1988
1974	David Armour	23 July 1954	19	14	1974–1976
1974	Rex Hunt	3 July 1949	32	44	1974–1975
1974	Jeff Cassidy	27 September 1956	50	20	1974–1980
1974	Robert Neal	16 December 1956	200	51	1974–1986
1974	Doug Scale	24 January 1954	11	0	1974–1975
1975	Alan Woodman	6 July 1955	58	2	1975–1979
1975	Murray Gilmour	28 November 1950	7	0	1975
1975	Bryan Cousins	29 December 1953	67	46	1975–1979
1975	David Scott	2 June 1955	1	0	1975
1975	Phil Baker	22 March 1952	9	9	1975
1975	Bruce Thomson	10 January 1955	2	1	1975
1975	Graeme Landy	31 May 1954	54	31	1975–1978, 1987–1988
1976	Terry Bright	2 December 1958	219	331	1976–1987
1976	David Manson	2 November 1951	38	13	1976–1978
1976	Murray Witcombe	11 January 1956	121	79	1976–1986
1976	Colin Nish	14 December 1955	10	0	1976–1977
1977	Gary Malarkey	23 May 1953	172	0	1977–1986
1977	Andy McGillivray	19 February 1954	6	4	1977
1977	Peter Ruscuklic	15 December 1955	4	1	1977
1977	Ray Card	4 April 1957	110	4	1977–1985, 1987
1977	John Brimacombe	7 December 1953	3	0	1977
1977	Andy Preston	16 August 1957	58	13	1977–1981
1977	Jeff Fehring	21 April 1956	19	1	1977–1979
1977	Gerard FitzGerald	25 July 1957	3	4	1977
1977	Paul Jeffreys	3 October 1959	91	23	1977–1985
1977	Wayne Hovey	13 July 1956	6	10	1977
1977	Robert Steven	5 January 1957	1	0	1977
1978	Tom Floyd	10 July 1960	47	38	1978, 1980–1982
1978	Malcolm Reed	2 November 1958	81	18	1978–1985
1978	Russell Koehler	1 September 1959	1	1	1978
1978	Neville Bruns	10 March 1958	223	174	1978–1992
1978	Craig Dowsett	2 September 1960	8	0	1978–1979, 1981
1978	Kelvin Matthews	15 December 1953	58	70	1978–1982
1979	John Burns	8 October 1949	17	10	1979
1979	Glenn Middlemiss	6 August 1956	34	29	1979–1981
1979	John Mossop	14 June 1959	134	87	1979–1986
1979	John Durnan	7 November 1957	1	0	1979
1979	Peter Johnston	13 November 1957	92	108	1979–1986
1979	Mark Bos	28 July 1960	195	16	1979–1989
1979	Peter Featherby	12 December 1951	93	79	1979–1983
1979	Mario Bortolotto	26 June 1957	14	2	1979–1980
1979	Greg Nichols	1 June 1959	1	0	1979
