Rank	Metropolitan area	Principal city	10,000+ places	Densest incorporated place	Density
1	New York metropolitan area	New York City	55	Guttenberg	56012.0
2	Greater Los Angeles Area	Los Angeles	27	Maywood	23887.2
3	Delaware Valley	Philadelphia	8	Millbourne	13749.1
4	Miami metropolitan area	Miami	7	North Bay Village	20267.1
5	Greater Boston	Boston	7	Somerville	18868.1
6	Chicagoland	Chicago	7	Stone Park	15378.2
7	San Francisco Bay Area	San Francisco	6	San Francisco	17246.4
8	Pittsburgh metropolitan area	Pittsburgh	3	Pennsbury Village	12710.3
9	Louisville-Jefferson County metropolitan area	Louisville	1	Poplar Hills	17036.0
10	Providence metropolitan area	Providence	1	Central Falls	15652.0
11	Washington Metropolitan Area	Washington, D.C.	1	Mount Rainier	13038.5
12	Dallas–Fort Worth Metroplex	Dallas	1	Mobile City	11911.3
13	Buffalo-Niagara Falls metropolitan area	Buffalo	1	Kenmore	11437.2
14	Portland metropolitan area	Portland	1	Johnson City	11061.5
15	Metro Detroit	Detroit	1	Hamtramck	10900.5
