Date	Opponent	Home/Away	Field	Result
May 31	Rattlers	Away	Bishop Kearney Field	L 13-23
June 6	Cannons	Home	The Ballpark at Harbor Yard	L 17-23
June 12	Bayhawks	Home	The Ballpark at Harbor Yard	L 14-21
June 14	Pride	Away	Commerce Bank Ballpark	L 9-16
June 27	Lizards	Away	Mitchel Athletic Complex	L 19-23
July 12	Lizards	Home	The Ballpark at Harbor Yard	L 16-17
July 19	Bayhawks	Away	Homewood Field	W 22-17
July 24	Rattlers	Home	The Ballpark at Harbor Yard	L 19-21
July 31	Pride	Home	The Ballpark at Harbor Yard	L 14-22
August 2	Rattlers	Away	Bishop Kearney Field	L 13-28
August 7	Cannons	Away	Cawley Memorial Stadium	L 15-21
August 14	Rattlers	Home	The Ballpark at Harbor Yard	L 18-23
