Rank	Company	Headquarters	Industry	Sales (billion $)	Profits (billion $)	Assets (billion $)	Market Value (billion $)
01	HSBC	UK	Banking	146.1	19.1	2,349.0	180.8
02	General Electric	USA	Conglomerate	172.7	22.2	795.3	330.9
03	Bank of America	USA	Banking	119.2	15.0	1,715.8	176.5
04	JPMorgan Chase	USA	Banking	116.4	15.4	1,562.2	136.9
05	ExxonMobil	USA	Oil and gas	358.6	40.6	242.1	465.5
06	Royal Dutch Shell	Netherlands	Oil and gas	355.8	31.3	266.2	221.1
07	BP	UK	Oil and gas	281.0	20.6	236.1	204.9
08	Toyota	Japan	Automotive	203.8	14.0	276.4	175.1
09	ING Group	Netherlands	Insurance / banking	197.9	12.7	1,932.2	75.8
10	Berkshire Hathaway	USA	Diversified Financials	118.3	13.2	273.2	216.7
10	The Royal Bank of Scotland	UK	Banking	108.5	14.6	3,807.5	76.6
12	AT&T Inc.	USA	Telecommunications	118.9	12.0	275.6	210.2
13	BNP Paribas	France	Banking	116.2	10.7	2,494.4	81.9
14	Allianz	Germany	Insurance	139.1	10.9	1,547.5	80.3
15	Total S.A.	France	Oil and gas	199.7	19.2	165.8	181.8
16	Walmart	USA	Retailing	378.8	12.7	163.4	198.6
17	Chevron	USA	Oil and gas	204.0	18.7	148.8	180.0
18	American International Group	USA	Insurance	110.1	6.2	1,060.5	118.2
19	Gazprom	Russia	Oil and gas	81.8	23.3	201.7	306.8
20	AXA	France	Insurance	151.7	7.8	1,064.7	70.3
