Date	Opponent	Score	Loss	Record
August 1	@ Tigers	7 - 5	Miceli (2-2)	51-55
August 2	@ Tigers	8 - 7	Quantrill (4-4)	51-56
August 3	@ Tigers	5 - 2	Williams (6-10)	51-57
August 4	@ Twins	9 - 3	Carpenter (0-4)	51-58
August 5	@ Twins	8 - 3	Miller (0-2)	52-58
August 6	Indians	6 - 3	Lopez (3-5)	53-58
August 7	Indians	4 - 0	Smiley (1-1)	54-58
August 8	Tigers	6 - 3	Blair (11-5)	55-58
August 9	Tigers	3 - 2	Carpenter (0-5)	55-59
August 10	Tigers	4 - 2	Person (5-8)	55-60
August 11	Tigers	8 - 2	Jarvis (0-2)	56-60
August 12	Twins	9 - 1	Bowers (0-2)	57-60
August 13	Twins	3 - 2	Trombley (1-2)	58-60
August 15	@ Indians	5 - 4 (10)	Crabtree (2-3)	58-61
August 16	@ Indians	8 - 4	Quantrill (5-5)	58-62
August 17	@ Indians	10 - 5	Wright (3-2)	59-62
August 18	@ Indians	5 - 3	Williams (7-11)	59-63
August 19	@ White Sox	6 - 5	Cruz (0-1)	60-63
August 19	@ White Sox	5 - 3	Andújar (0-6)	60-64
August 20	@ White Sox	12 - 6	Person (5-9)	60-65
August 21	@ White Sox	6 - 3	Hentgen (13-8)	60-66
August 22	@ Royals	5 - 3	Rosado (8-10)	61-66
August 23	@ Royals	6 - 5	Walker (3-3)	62-66
August 24	@ Royals	11 - 8 (13)	Casian (0-2)	63-66
August 26	White Sox	8 - 5	Williams (7-12)	63-67
August 27	White Sox	13 - 2	Drabek (10-9)	64-67
August 28	White Sox	3 - 2 (11)	McElroy (0-3)	65-67
August 29	Marlins	8 - 0	Person (5-10)	65-68
August 30	Marlins	4 - 1	Carpenter (1-6)	65-69
August 31	Marlins	8 - 3	Williams (7-13)	65-70
