Rank	Nation	Gold	Silver	Bronze	Total
1	United States (USA)	17	14	13	44
2	China (CHN)	13	22	17	52
3	Ukraine (UKR)	13	10	20	43
4	Great Britain (GBR)	11	12	18	41
5	Russia (RUS)	11	9	7	27
6	Spain (ESP)	10	12	9	31
7	Australia (AUS)	9	11	9	29
8	Brazil (BRA)	8	7	4	19
9	South Africa (RSA)	8	0	1	9
10	Canada (CAN)	7	7	9	23
11	Mexico (MEX)	5	1	2	8
12	Greece (GRE)	4	5	3	12
13	New Zealand (NZL)	4	2	0	6
14	Belarus (BLR)	3	2	1	6
15	Poland (POL)	2	5	3	10
16	France (FRA)	2	4	0	6
17	Netherlands (NED)	2	2	2	6
18	Czech Republic (CZE)	2	1	4	7
19	Sweden (SWE)	2	0	1	3
20	Germany (GER)	1	3	5	9
21	Japan (JPN)	1	2	2	5
22	Italy (ITA)	1	2	0	3
23	Singapore (SIN)	1	1	0	2
24	Hungary (HUN)	1	0	4	5
25	Cyprus (CYP)	1	0	1	2
25	Denmark (DEN)	1	0	1	2
25	Norway (NOR)	1	0	1	2
28	Israel (ISR)	0	3	0	3
29	South Korea (KOR)	0	1	1	2
30	Ireland (IRL)	0	1	0	1
31	Argentina (ARG)	0	0	1	1
31	Colombia (COL)	0	0	1	1
31	Estonia (EST)	0	0	1	1
31	Portugal (POR)	0	0	1	1
Total	Total	141	139	142	422
