Frequency	Station	Operator	Language	Genre	Coverage Area
93.6MHz	Klasik Nasional FM	Radio Televisyen Malaysia (RTM)	Malay	Music	Gunung Ledang
96.6MHz	Muzik FM	Radio Televisyen Malaysia (RTM)	Malay	Music	Gunung Ledang
97.4MHz	TraXX FM	Radio Televisyen Malaysia (RTM)	English	Talk Music	Gunung Ledang
100.4MHz	Ai FM	Radio Televisyen Malaysia (RTM)	Chinese ( Cantonese )	Talk Music	Gunung Ledang
103.3MHz	Minnal FM	Radio Televisyen Malaysia (RTM)	Tamil	Talk Music	Gunung Ledang
102.3MHz	Malacca FM	Radio Televisyen Malaysia (RTM)	Malay	Talk Music	Gunung Ledang
98.9MHz	Red FM	STAR Radio Sdn Bhd ( The Star )	Malay English	Talk Music	Gunung Ledang
98.2MHz	988 FM	STAR Radio Sdn Bhd ( The Star )	Chinese ( Cantonese )	Talk Music	Gunung Ledang
88.5MHz	Suria FM	STAR Radio Sdn Bhd ( The Star )	Malay	Talk Music	Gunung Ledang
89.5MHz	IKIM.fm	Institute of Islamic Studies Malaysia	Arabic English	Talk Music	Gunung Ledang
93.0MHz	Hitz.fm	AMP Radio Networks	English	Talk Music	Gunung Ledang
91.1MHz	Mix FM	AMP Radio Networks	English	Talk Music	Gunung Ledang
94.0MHz	Fly FM	Media Prima Berhad	English Malay	Talk Music	Gunung Ledang
96.0MHz	Sinar FM	AMP Radio Networks	Malay	Talk Music	Gunung Ledang
104.3MHz	Hot FM	Media Prima Berhad	Malay	Talk Music	Gunung Ledang
88.1MHz	One FM	Media Prima Berhad	Chinese ( Cantonese )	Talk Music	Gunung Ledang
99.7MHz	THR.fm	AMP Radio Networks	Tamil Malay	Talk Music	Gunung Ledang
106.4MHz	MY FM	AMP Radio Networks	Chinese ( Cantonese )	Talk Music	Gunung Ledang
107.3MHz	XFM	AMP Radio Networks	Malay	Talk Music	Gunung Ledang
90.3MHz	Era FM	AMP Radio Networks	Malay	Talk Music	Gunung Ledang
92.2MHz	LiteFM	AMP Radio Networks	English	Music	Gunung Ledang
